Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.36360	0.33	0.31430	0.35
1950	1	0.04954	1.35	0.05158	1.36
1950	5	0.00953	2.07	0.01051	2.09
1950	10	0.00681	2.48	0.00816	2.49
1950	15	0.00930	2.62	0.01073	2.58
1950	20	0.01334	2.57	0.01348	2.54
1950	25	0.01493	2.52	0.01512	2.52
1950	30	0.01728	2.53	0.01714	2.51
1950	35	0.02040	2.53	0.01884	2.50
1950	40	0.02480	2.52	0.02028	2.49
1950	45	0.02891	2.52	0.02192	2.53
1950	50	0.03690	2.52	0.02854	2.55
1950	55	0.04554	2.52	0.03665	2.56
1950	60	0.06285	2.50	0.05444	2.53
1950	65	0.08511	2.46	0.07411	2.49
1950	70	0.11985	2.40	0.10992	2.43
1950	75	0.17698	2.29	0.16084	2.32
1950	80	0.25055	2.12	0.23240	2.16
1950	85	0.34909	1.90	0.32087	1.96
1950	90	0.46398	1.64	0.42057	1.73
1950	95	0.59488	1.35	0.52812	1.49
1950	100	0.70786	1.41	0.63943	1.56
1955	0	0.32551	0.33	0.28241	0.35
1955	1	0.04424	1.35	0.04612	1.36
1955	5	0.00865	2.07	0.00952	2.10
1955	10	0.00619	2.48	0.00740	2.49
1955	15	0.00848	2.62	0.00975	2.58
1955	20	0.01217	2.57	0.01226	2.55
1955	25	0.01358	2.53	0.01375	2.52
1955	30	0.01570	2.53	0.01560	2.51
1955	35	0.01857	2.54	0.01717	2.50
1955	40	0.02261	2.53	0.01854	2.49
1955	45	0.02651	2.53	0.02018	2.53
1955	50	0.03398	2.53	0.02632	2.55
1955	55	0.04230	2.53	0.03394	2.56
1955	60	0.05859	2.51	0.05041	2.54
1955	65	0.07978	2.47	0.06905	2.50
1955	70	0.11288	2.42	0.10278	2.45
1955	75	0.16689	2.31	0.15112	2.34
1955	80	0.23752	2.15	0.21962	2.19
1955	85	0.33301	1.94	0.30531	1.99
1955	90	0.44584	1.69	0.40329	1.77
1955	95	0.57640	1.39	0.51095	1.52
1955	100	0.69153	1.45	0.62372	1.60
1960	0	0.29100	0.33	0.25257	0.35
1960	1	0.03936	1.35	0.04097	1.36
1960	5	0.00782	2.08	0.00856	2.10
1960	10	0.00561	2.49	0.00667	2.49
1960	15	0.00772	2.63	0.00881	2.59
1960	20	0.01107	2.57	0.01109	2.55
1960	25	0.01232	2.53	0.01245	2.52
1960	30	0.01423	2.54	0.01411	2.52
1960	35	0.01685	2.54	0.01556	2.50
1960	40	0.02057	2.53	0.01688	2.50
1960	45	0.02427	2.54	0.01850	2.54
1960	50	0.03127	2.54	0.02420	2.56
1960	55	0.03929	2.53	0.03135	2.57
1960	60	0.05465	2.52	0.04657	2.55
1960	65	0.07488	2.48	0.06426	2.52
1960	70	0.10651	2.43	0.09610	2.46
1960	75	0.15781	2.33	0.14211	2.37
1960	80	0.22591	2.18	0.20791	2.22
1960	85	0.31880	1.97	0.29116	2.02
1960	90	0.42990	1.72	0.38769	1.80
1960	95	0.56021	1.43	0.49550	1.56
1960	100	0.67730	1.48	0.60974	1.64
1965	0	0.26219	0.33	0.22819	0.35
1965	1	0.03523	1.35	0.03672	1.36
1965	5	0.00711	2.08	0.00776	2.11
1965	10	0.00512	2.49	0.00605	2.49
1965	15	0.00707	2.63	0.00803	2.59
1965	20	0.01013	2.58	0.01011	2.55
1965	25	0.01124	2.53	0.01135	2.53
1965	30	0.01296	2.54	0.01287	2.52
1965	35	0.01537	2.55	0.01422	2.51
1965	40	0.01882	2.54	0.01549	2.51
1965	45	0.02235	2.54	0.01710	2.54
1965	50	0.02896	2.54	0.02243	2.56
1965	55	0.03672	2.54	0.02919	2.58
1965	60	0.05131	2.53	0.04340	2.56
1965	65	0.07073	2.49	0.06032	2.53
1965	70	0.10115	2.45	0.09064	2.48
1965	75	0.15026	2.35	0.13484	2.38
1965	80	0.21634	2.20	0.19854	2.24
1965	85	0.30718	2.00	0.27996	2.05
1965	90	0.41694	1.75	0.37544	1.83
1965	95	0.54712	1.46	0.48346	1.59
1965	100	0.66589	1.50	0.59904	1.67
1970	0	0.23425	0.33	0.20443	0.35
1970	1	0.03117	1.35	0.03256	1.36
1970	5	0.00640	2.09	0.00696	2.11
1970	10	0.00462	2.49	0.00543	2.50
1970	15	0.00641	2.63	0.00724	2.59
1970	20	0.00918	2.58	0.00914	2.55
1970	25	0.01017	2.53	0.01026	2.53
1970	30	0.01170	2.54	0.01164	2.52
1970	35	0.01391	2.55	0.01289	2.51
1970	40	0.01708	2.54	0.01411	2.51
1970	45	0.02044	2.55	0.01571	2.55
1970	50	0.02666	2.55	0.02067	2.57
1970	55	0.03418	2.55	0.02705	2.58
1970	60	0.04801	2.54	0.04027	2.57
1970	65	0.06665	2.51	0.05644	2.54
1970	70	0.09592	2.46	0.08530	2.49
1970	75	0.14298	2.36	0.12779	2.40
1970	80	0.20719	2.22	0.18956	2.26
1970	85	0.29618	2.02	0.26933	2.07
1970	90	0.40479	1.78	0.36393	1.86
1970	95	0.53494	1.48	0.47224	1.61
1970	100	0.65542	1.53	0.58929	1.70
1975	0	0.20625	0.33	0.18041	0.35
1975	1	0.02705	1.35	0.02832	1.36
1975	5	0.00567	2.09	0.00614	2.12
1975	10	0.00410	2.49	0.00480	2.50
1975	15	0.00573	2.63	0.00642	2.60
1975	20	0.00821	2.58	0.00813	2.56
1975	25	0.00906	2.53	0.00913	2.53
1975	30	0.01040	2.54	0.01036	2.53
1975	35	0.01240	2.55	0.01151	2.52
1975	40	0.01530	2.55	0.01268	2.52
1975	45	0.01849	2.56	0.01427	2.55
1975	50	0.02432	2.56	0.01886	2.58
1975	55	0.03159	2.56	0.02485	2.59
1975	60	0.04466	2.55	0.03706	2.58
1975	65	0.06253	2.52	0.05248	2.55
1975	70	0.09065	2.47	0.07990	2.51
1975	75	0.13572	2.38	0.12071	2.42
1975	80	0.19816	2.24	0.18062	2.28
1975	85	0.28546	2.05	0.25889	2.10
1975	90	0.39308	1.81	0.35277	1.89
1975	95	0.52332	1.51	0.46151	1.64
1975	100	0.64565	1.55	0.58029	1.72
1980	0	0.17741	0.33	0.15545	0.35
1980	1	0.02275	1.35	0.02387	1.36
1980	5	0.00489	2.10	0.00526	2.12
1980	10	0.00356	2.50	0.00411	2.50
1980	15	0.00501	2.64	0.00556	2.60
1980	20	0.00719	2.58	0.00706	2.56
1980	25	0.00788	2.53	0.00793	2.53
1980	30	0.00903	2.55	0.00901	2.53
1980	35	0.01081	2.56	0.01004	2.52
1980	40	0.01342	2.56	0.01116	2.53
1980	45	0.01643	2.57	0.01274	2.56
1980	50	0.02185	2.57	0.01694	2.58
1980	55	0.02886	2.57	0.02252	2.60
1980	60	0.04114	2.56	0.03369	2.59
1980	65	0.05821	2.53	0.04834	2.56
1980	70	0.08517	2.49	0.07430	2.52
1980	75	0.12825	2.40	0.11344	2.44
1980	80	0.18898	2.26	0.17161	2.31
1980	85	0.27470	2.07	0.24857	2.13
1980	90	0.38150	1.83	0.34199	1.91
1980	95	0.51201	1.54	0.45140	1.66
1980	100	0.63645	1.57	0.57227	1.75
1985	0	0.15087	0.33	0.13110	0.35
1985	1	0.01812	1.35	0.01940	1.36
1985	5	0.00409	2.11	0.00438	2.13
1985	10	0.00296	2.51	0.00343	2.51
1985	15	0.00435	2.65	0.00469	2.61
1985	20	0.00624	2.58	0.00598	2.56
1985	25	0.00683	2.53	0.00673	2.54
1985	30	0.00781	2.55	0.00765	2.53
1985	35	0.00938	2.56	0.00859	2.53
1985	40	0.01167	2.57	0.00965	2.54
1985	45	0.01455	2.58	0.01122	2.57
1985	50	0.01955	2.58	0.01503	2.59
1985	55	0.02631	2.58	0.02021	2.60
1985	60	0.03790	2.57	0.03036	2.60
1985	65	0.05427	2.54	0.04425	2.58
1985	70	0.08026	2.50	0.06879	2.54
1985	75	0.12165	2.42	0.10634	2.46
1985	80	0.18111	2.29	0.16292	2.33
1985	85	0.26583	2.10	0.23884	2.15
1985	90	0.37237	1.86	0.33209	1.94
1985	95	0.50351	1.56	0.44238	1.69
1985	100	0.63015	1.59	0.56571	1.77
1990	0	0.12703	0.33	0.11079	0.35
1990	1	0.01427	1.35	0.01506	1.36
1990	5	0.00341	2.13	0.00359	2.14
1990	10	0.00250	2.51	0.00278	2.51
1990	15	0.00373	2.65	0.00397	2.62
1990	20	0.00534	2.58	0.00516	2.57
1990	25	0.00580	2.53	0.00584	2.54
1990	30	0.00661	2.55	0.00663	2.54
1990	35	0.00800	2.57	0.00746	2.54
1990	40	0.01011	2.58	0.00847	2.54
1990	45	0.01291	2.59	0.01004	2.58
1990	50	0.01766	2.59	0.01357	2.60
1990	55	0.02428	2.59	0.01847	2.61
1990	60	0.03533	2.58	0.02786	2.61
1990	65	0.05119	2.55	0.04129	2.59
1990	70	0.07642	2.51	0.06486	2.55
1990	75	0.11655	2.43	0.10130	2.47
1990	80	0.17512	2.30	0.15692	2.35
1990	85	0.25924	2.11	0.23238	2.17
1990	90	0.36579	1.87	0.32586	1.95
1990	95	0.49764	1.57	0.43710	1.70
1990	100	0.62620	1.60	0.56256	1.78
1995	0	0.10990	0.32	0.09555	0.32
1995	1	0.01165	1.35	0.01216	1.36
1995	5	0.00291	2.14	0.00298	2.15
1995	10	0.00216	2.52	0.00232	2.52
1995	15	0.00327	2.65	0.00335	2.62
1995	20	0.00468	2.58	0.00438	2.57
1995	25	0.00504	2.53	0.00499	2.54
1995	30	0.00573	2.56	0.00569	2.54
1995	35	0.00698	2.58	0.00649	2.54
1995	40	0.00894	2.59	0.00750	2.55
1995	45	0.01166	2.60	0.00910	2.59
1995	50	0.01620	2.60	0.01242	2.61
1995	55	0.02269	2.60	0.01709	2.62
1995	60	0.03332	2.59	0.02592	2.62
1995	65	0.04876	2.56	0.03894	2.60
1995	70	0.07338	2.52	0.06177	2.56
1995	75	0.11252	2.44	0.09744	2.49
1995	80	0.17040	2.31	0.15249	2.36
1995	85	0.25409	2.13	0.22788	2.18
1995	90	0.36072	1.89	0.32188	1.96
1995	95	0.49319	1.58	0.43415	1.71
1995	100	0.62338	1.60	0.56162	1.78
2000	0	0.09616	0.30	0.08365	0.29
2000	1	0.00960	1.35	0.01002	1.38
2000	5	0.00251	2.15	0.00252	2.16
2000	10	0.00188	2.53	0.00197	2.52
2000	15	0.00289	2.66	0.00287	2.63
2000	20	0.00413	2.58	0.00378	2.58
2000	25	0.00441	2.53	0.00432	2.55
2000	30	0.00501	2.56	0.00495	2.55
2000	35	0.00614	2.58	0.00571	2.55
2000	40	0.00797	2.60	0.00672	2.56
2000	45	0.01061	2.61	0.00833	2.59
2000	50	0.01496	2.61	0.01146	2.61
2000	55	0.02133	2.61	0.01595	2.62
2000	60	0.03158	2.60	0.02431	2.62
2000	65	0.04665	2.57	0.03698	2.61
2000	70	0.07074	2.53	0.05919	2.57
2000	75	0.10903	2.45	0.09420	2.50
2000	80	0.16632	2.33	0.14877	2.37
2000	85	0.24967	2.14	0.22415	2.19
2000	90	0.35643	1.90	0.31866	1.97
2000	95	0.48951	1.59	0.43188	1.72
2000	100	0.62120	1.61	0.56116	1.78
2005	0	0.08175	0.26	0.07050	0.25
2005	1	0.00752	1.40	0.00778	1.41
2005	5	0.00209	2.17	0.00203	2.17
2005	10	0.00158	2.53	0.00159	2.53
2005	15	0.00249	2.66	0.00236	2.64
2005	20	0.00355	2.58	0.00313	2.58
2005	25	0.00375	2.53	0.00359	2.55
2005	30	0.00425	2.56	0.00415	2.55
2005	35	0.00525	2.59	0.00486	2.56
2005	40	0.00693	2.61	0.00585	2.58
2005	45	0.00946	2.62	0.00744	2.60
2005	50	0.01360	2.63	0.01037	2.62
2005	55	0.01981	2.62	0.01463	2.63
2005	60	0.02964	2.61	0.02244	2.63
2005	65	0.04430	2.58	0.03470	2.62
2005	70	0.06778	2.54	0.05616	2.58
2005	75	0.10512	2.46	0.09039	2.51
2005	80	0.16177	2.34	0.14443	2.38
2005	85	0.24481	2.15	0.21987	2.20
2005	90	0.35179	1.91	0.31510	1.98
2005	95	0.48566	1.60	0.42957	1.72
2005	100	0.61913	1.62	0.56115	1.78
2010	0	0.06799	0.23	0.05795	0.22
2010	1	0.00559	1.44	0.00571	1.43
2010	5	0.00169	2.19	0.00156	2.18
2010	10	0.00129	2.54	0.00124	2.54
