Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.19096	0.33	0.17409	0.35
1950	1	0.03694	1.28	0.03892	1.30
1950	5	0.00607	1.96	0.00660	1.97
1950	10	0.00314	2.51	0.00374	2.52
1950	15	0.00479	2.73	0.00532	2.63
1950	20	0.00737	2.54	0.00670	2.55
1950	25	0.00730	2.48	0.00736	2.51
1950	30	0.00772	2.52	0.00765	2.51
1950	35	0.00867	2.55	0.00830	2.52
1950	40	0.01069	2.56	0.00890	2.51
1950	45	0.01312	2.57	0.00989	2.56
1950	50	0.01751	2.59	0.01323	2.60
1950	55	0.02415	2.60	0.01845	2.64
1950	60	0.03616	2.59	0.03019	2.64
1950	65	0.05420	2.57	0.04806	2.61
1950	70	0.08663	2.52	0.08018	2.54
1950	75	0.13934	2.40	0.13077	2.43
1950	80	0.21956	2.22	0.21091	2.23
1950	85	0.33233	1.96	0.31368	2.00
1950	90	0.46783	1.68	0.43816	1.73
1950	95	0.60940	1.43	0.57170	1.49
1950	100	0.73826	1.35	0.69945	1.43
1955	0	0.17839	0.33	0.16302	0.35
1955	1	0.03170	1.28	0.03357	1.30
1955	5	0.00536	1.99	0.00580	2.00
1955	10	0.00291	2.51	0.00341	2.53
1955	15	0.00440	2.73	0.00485	2.64
1955	20	0.00672	2.54	0.00613	2.55
1955	25	0.00672	2.49	0.00677	2.51
1955	30	0.00724	2.53	0.00711	2.51
1955	35	0.00820	2.56	0.00778	2.52
1955	40	0.01019	2.57	0.00845	2.52
1955	45	0.01262	2.58	0.00950	2.56
1955	50	0.01697	2.59	0.01276	2.60
1955	55	0.02344	2.60	0.01776	2.64
1955	60	0.03502	2.59	0.02885	2.64
1955	65	0.05235	2.57	0.04571	2.61
1955	70	0.08337	2.53	0.07615	2.55
1955	75	0.13409	2.42	0.12432	2.45
1955	80	0.21118	2.24	0.20080	2.26
1955	85	0.32057	1.99	0.29998	2.03
1955	90	0.45328	1.71	0.42147	1.76
1955	95	0.59372	1.45	0.55362	1.52
1955	100	0.72303	1.38	0.68141	1.47
1960	0	0.16459	0.33	0.15061	0.35
1960	1	0.02675	1.29	0.02856	1.30
1960	5	0.00468	2.01	0.00504	2.02
1960	10	0.00266	2.52	0.00308	2.53
1960	15	0.00401	2.72	0.00436	2.64
1960	20	0.00606	2.54	0.00555	2.55
1960	25	0.00613	2.50	0.00616	2.52
1960	30	0.00670	2.53	0.00654	2.52
1960	35	0.00767	2.56	0.00721	2.53
1960	40	0.00961	2.57	0.00794	2.52
1960	45	0.01202	2.58	0.00904	2.57
1960	50	0.01631	2.60	0.01220	2.60
1960	55	0.02261	2.61	0.01697	2.64
1960	60	0.03372	2.60	0.02737	2.64
1960	65	0.05035	2.58	0.04323	2.61
1960	70	0.07997	2.53	0.07200	2.56
1960	75	0.12868	2.43	0.11779	2.46
1960	80	0.20273	2.26	0.19074	2.28
1960	85	0.30882	2.01	0.28644	2.05
1960	90	0.43884	1.73	0.40506	1.80
1960	95	0.57824	1.48	0.53593	1.55
