Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.23951	0.33	0.20282	0.35
1950	1	0.04586	1.35	0.04513	1.36
1950	5	0.01073	2.48	0.01138	2.48
1950	10	0.00577	2.49	0.00673	2.49
1950	15	0.00753	2.48	0.00862	2.48
1950	20	0.01179	2.48	0.01053	2.48
1950	25	0.01223	2.47	0.01147	2.48
1950	30	0.01301	2.47	0.01252	2.47
1950	35	0.01475	2.47	0.01326	2.47
1950	40	0.01719	2.46	0.01409	2.47
1950	45	0.01973	2.46	0.01445	2.47
1950	50	0.02404	2.45	0.01810	2.46
1950	55	0.02923	2.44	0.02346	2.45
1950	60	0.04097	2.41	0.03538	2.43
1950	65	0.05726	2.38	0.05104	2.39
1950	70	0.08686	2.32	0.07981	2.33
1950	75	0.12777	2.24	0.11714	2.26
1950	80	0.18878	2.11	0.17030	2.15
1950	85	0.26619	1.96	0.23943	2.01
1950	90	0.35900	1.79	0.32576	1.85
1950	95	0.48273	1.58	0.43927	1.65
1950	100	0.60891	1.64	0.56164	1.78
1955	0	0.23236	0.33	0.19653	0.35
1955	1	0.04311	1.35	0.04233	1.36
1955	5	0.01019	2.48	0.01072	2.48
1955	10	0.00553	2.49	0.00637	2.49
1955	15	0.00726	2.48	0.00819	2.48
1955	20	0.01132	2.48	0.01002	2.48
1955	25	0.01174	2.48	0.01095	2.48
1955	30	0.01251	2.47	0.01199	2.48
1955	35	0.01421	2.47	0.01277	2.47
1955	40	0.01664	2.47	0.01366	2.47
1955	45	0.01924	2.46	0.01412	2.47
1955	50	0.02359	2.45	0.01774	2.46
1955	55	0.02889	2.44	0.02307	2.45
1955	60	0.04062	2.42	0.03485	2.43
1955	65	0.05693	2.38	0.05047	2.39
1955	70	0.08642	2.32	0.07911	2.34
1955	75	0.12732	2.24	0.11655	2.26
1955	80	0.18826	2.11	0.16981	2.15
1955	85	0.26587	1.96	0.23920	2.01
1955	90	0.35888	1.79	0.32577	1.85
1955	95	0.48252	1.58	0.43949	1.65
1955	100	0.60869	1.64	0.56204	1.78
1960	0	0.22257	0.33	0.18808	0.35
1960	1	0.03952	1.35	0.03876	1.36
1960	5	0.00949	2.48	0.00988	2.48
1960	10	0.00521	2.49	0.00591	2.49
1960	15	0.00691	2.49	0.00763	2.48
1960	20	0.01070	2.48	0.00936	2.48
1960	25	0.01108	2.48	0.01027	2.48
1960	30	0.01183	2.48	0.01130	2.48
1960	35	0.01350	2.47	0.01213	2.47
1960	40	0.01590	2.47	0.01307	2.47
1960	45	0.01856	2.46	0.01367	2.47
1960	50	0.02297	2.45	0.01726	2.46
1960	55	0.02841	2.44	0.02255	2.45
1960	60	0.04012	2.42	0.03413	2.43
1960	65	0.05647	2.38	0.04968	2.40
1960	70	0.08579	2.32	0.07814	2.34
1960	75	0.12668	2.24	0.11572	2.26
1960	80	0.18752	2.11	0.16910	2.15
1960	85	0.26540	1.96	0.23885	2.01
1960	90	0.35869	1.79	0.32573	1.85
1960	95	0.48220	1.58	0.43974	1.65
1960	100	0.60834	1.64	0.56256	1.78
1965	0	0.21055	0.33	0.17791	0.35
1965	1	0.03540	1.35	0.03473	1.36
1965	5	0.00866	2.48	0.00892	2.48
1965	10	0.00483	2.49	0.00538	2.49
1965	15	0.00649	2.49	0.00699	2.49
1965	20	0.00996	2.48	0.00859	2.48
1965	25	0.01030	2.48	0.00949	2.48
1965	30	0.01102	2.48	0.01049	2.48
1965	35	0.01265	2.47	0.01137	2.48
1965	40	0.01501	2.47	0.01238	2.47
1965	45	0.01775	2.46	0.01313	2.47
1965	50	0.02222	2.45	0.01668	2.47
1965	55	0.02782	2.44	0.02192	2.45
1965	60	0.03951	2.42	0.03324	2.43
1965	65	0.05588	2.38	0.04870	2.40
