Periodo	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.26563	0.33	0.22448	0.35
1950	1	0.03372	1.35	0.03842	1.36
1950	5	0.00664	2.50	0.00902	2.50
1950	10	0.00282	2.50	0.00383	2.50
1950	15	0.00301	2.57	0.00499	2.59
1950	20	0.00399	2.58	0.00616	2.54
1950	25	0.00450	2.55	0.00658	2.53
1950	30	0.00531	2.57	0.00778	2.54
1950	35	0.00663	2.59	0.00861	2.53
1950	40	0.00880	2.60	0.00985	2.54
1950	45	0.01148	2.59	0.01160	2.57
1950	50	0.01531	2.58	0.01547	2.59
1950	55	0.01999	2.68	0.02127	2.69
1950	60	0.04415	2.66	0.04799	2.65
1950	65	0.06723	2.55	0.07127	2.53
1950	70	0.10970	2.47	0.11530	2.44
1950	75	0.17294	2.33	0.17312	2.30
1950	80	0.26763	2.12	0.25432	2.12
1950	85	0.39839	1.82	0.35748	1.89
1950	90	0.54475	1.49	0.48887	1.61
1950	95	0.73241	1.08	0.65919	1.24
1950	100	0.91681	1.09	0.83379	1.20
1955	0	0.22444	0.33	0.18973	0.35
1955	1	0.02788	1.35	0.03211	1.36
1955	5	0.00608	2.50	0.00824	2.50
1955	10	0.00261	2.50	0.00353	2.50
1955	15	0.00273	2.57	0.00449	2.59
1955	20	0.00368	2.57	0.00560	2.55
1955	25	0.00405	2.55	0.00596	2.54
1955	30	0.00478	2.57	0.00708	2.54
1955	35	0.00589	2.59	0.00788	2.54
1955	40	0.00797	2.60	0.00928	2.55
1955	45	0.01033	2.59	0.01094	2.57
1955	50	0.01387	2.59	0.01420	2.59
1955	55	0.01851	2.69	0.01984	2.69
1955	60	0.04080	2.67	0.04405	2.66
1955	65	0.06282	2.56	0.06620	2.55
1955	70	0.10270	2.48	0.10778	2.46
1955	75	0.16292	2.35	0.16383	2.33
1955	80	0.25285	2.15	0.24244	2.15
1955	85	0.37861	1.86	0.34331	1.92
1955	90	0.51954	1.55	0.47106	1.65
1955	95	0.69831	1.15	0.63638	1.29
1955	100	0.87443	1.14	0.80579	1.24
1960	0	0.19517	0.33	0.16510	0.35
1960	1	0.02370	1.35	0.02751	1.36
1960	5	0.00556	2.50	0.00749	2.50
1960	10	0.00241	2.50	0.00323	2.50
1960	15	0.00247	2.57	0.00403	2.59
1960	20	0.00338	2.57	0.00506	2.55
