Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.14293	0.33	0.13870	0.35
1950	1	0.02367	1.35	0.02287	1.36
1950	5	0.00954	2.50	0.00800	2.50
1950	10	0.00580	2.50	0.00450	2.50
1950	15	0.00600	2.52	0.00480	2.54
1950	20	0.00637	2.50	0.00537	2.58
1950	25	0.00651	2.51	0.00746	2.57
1950	30	0.00725	2.56	0.00818	2.54
1950	35	0.00941	2.63	0.00969	2.59
1950	40	0.01463	2.64	0.01406	2.58
1950	45	0.02176	2.58	0.01606	2.50
1950	50	0.02660	2.57	0.01672	2.55
1950	55	0.03933	2.60	0.02470	2.67
1950	60	0.06311	2.54	0.04789	2.61
1950	65	0.08853	2.47	0.06844	2.50
1950	70	0.13201	2.40	0.09648	2.47
1950	75	0.20464	2.22	0.15836	2.34
1950	80	0.27255	2.03	0.21786	2.16
1950	85	0.33063	1.89	0.27354	2.04
1950	90	0.40227	1.74	0.36414	1.84
1950	95	0.47520	1.57	0.43245	1.67
1950	100	0.53246	1.88	0.50489	1.98
1955	0	0.14671	0.33	0.14003	0.35
1955	1	0.02249	1.35	0.02192	1.36
1955	5	0.00759	2.50	0.00701	2.50
1955	10	0.00498	2.50	0.00406	2.50
1955	15	0.00546	2.54	0.00425	2.54
1955	20	0.00605	2.52	0.00483	2.59
1955	25	0.00642	2.52	0.00682	2.59
1955	30	0.00721	2.56	0.00804	2.55
1955	35	0.00922	2.61	0.00963	2.55
1955	40	0.01355	2.63	0.01150	2.54
1955	45	0.01940	2.61	0.01329	2.56
1955	50	0.02839	2.61	0.01729	2.61
1955	55	0.04444	2.58	0.02644	2.65
1955	60	0.06579	2.52	0.04588	2.61
1955	65	0.09305	2.48	0.07004	2.52
1955	70	0.14852	2.39	0.10255	2.48
1955	75	0.23715	2.18	0.17509	2.34
1955	80	0.34433	1.91	0.27107	2.08
1955	85	0.43193	1.69	0.35826	1.86
1955	90	0.52162	1.49	0.45824	1.63
1955	95	0.62797	1.26	0.53405	1.46
1955	100	0.72306	1.38	0.64498	1.55
1960	0	0.14908	0.33	0.14739	0.35
1960	1	0.02311	1.35	0.02286	1.36
1960	5	0.00750	2.50	0.00723	2.50
1960	10	0.00497	2.50	0.00405	2.50
1960	15	0.00526	2.52	0.00435	2.54
1960	20	0.00540	2.51	0.00492	2.57
1960	25	0.00574	2.54	0.00626	2.58
1960	30	0.00697	2.58	0.00778	2.57
1960	35	0.00899	2.61	0.00939	2.56
1960	40	0.01314	2.63	0.01126	2.54
1960	45	0.01876	2.62	0.01289	2.56
1960	50	0.02825	2.62	0.01721	2.61
1960	55	0.04394	2.58	0.02630	2.64
1960	60	0.06340	2.52	0.04391	2.61
1960	65	0.08925	2.48	0.06776	2.53
1960	70	0.14020	2.37	0.09856	2.46
1960	75	0.19370	2.24	0.14826	2.36
1960	80	0.27432	2.04	0.22169	2.17
1960	85	0.32998	1.89	0.28479	2.02
1960	90	0.40216	1.74	0.38332	1.80
1960	95	0.48352	1.56	0.46471	1.61
1960	100	0.55674	1.80	0.55035	1.82
1965	0	0.10877	0.33	0.09116	0.31
1965	1	0.01577	1.35	0.01254	1.38
1965	5	0.00299	2.50	0.00247	2.50
1965	10	0.00171	2.50	0.00143	2.50
1965	15	0.00239	2.61	0.00207	2.63
1965	20	0.00282	2.58	0.00258	2.59
1965	25	0.00359	2.58	0.00326	2.59
1965	30	0.00438	2.58	0.00410	2.59
1965	35	0.00556	2.61	0.00533	2.60
1965	40	0.00772	2.61	0.00686	2.60
1965	45	0.01036	2.61	0.00927	2.61
1965	50	0.01482	2.64	0.01277	2.61
1965	55	0.02334	2.66	0.01803	2.62
1965	60	0.03952	2.61	0.02713	2.61
1965	65	0.05891	2.53	0.04070	2.58
1965	70	0.08415	2.48	0.06050	2.58
1965	75	0.12502	2.40	0.10847	2.48
1965	80	0.18116	2.27	0.16167	2.32
1965	85	0.25836	2.11	0.23441	2.16
1965	90	0.36113	1.87	0.33582	1.92
1965	95	0.46039	1.64	0.41516	1.71
1965	100	0.57396	1.74	0.48436	2.06
