Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.29135	0.33	0.30411	0.35
1950	1	0.04709	1.35	0.05829	1.36
1950	5	0.00327	2.50	0.00304	2.50
1950	10	0.00259	2.50	0.00207	2.50
1950	15	0.00262	2.54	0.00246	2.51
1950	20	0.00327	2.59	0.00226	2.52
1950	25	0.00409	2.55	0.00274	2.57
1950	30	0.00439	2.57	0.00320	2.57
1950	35	0.00598	2.58	0.00398	2.54
1950	40	0.00691	2.58	0.00413	2.54
1950	45	0.00962	2.65	0.00504	2.64
1950	50	0.01582	2.62	0.00839	2.61
1950	55	0.01962	2.59	0.01179	2.64
1950	60	0.02935	2.61	0.01836	2.66
1950	65	0.04508	2.60	0.02986	2.65
1950	70	0.07364	2.54	0.05048	2.61
1950	75	0.11538	2.44	0.08440	2.53
1950	80	0.17263	2.31	0.13425	2.41
1950	85	0.25930	2.15	0.20948	2.26
1950	90	0.36348	1.92	0.30320	2.05
1950	95	0.50165	1.68	0.43258	1.81
1950	100	0.60232	1.66	0.54180	1.85
1955	0	0.23337	0.33	0.23998	0.35
1955	1	0.03493	1.35	0.04205	1.36
1955	5	0.00285	2.50	0.00257	2.50
1955	10	0.00226	2.50	0.00177	2.50
1955	15	0.00237	2.55	0.00211	2.52
1955	20	0.00300	2.59	0.00202	2.53
1955	25	0.00373	2.55	0.00248	2.57
1955	30	0.00406	2.57	0.00294	2.57
1955	35	0.00545	2.59	0.00364	2.55
1955	40	0.00646	2.60	0.00386	2.56
1955	45	0.00930	2.66	0.00494	2.65
1955	50	0.01545	2.63	0.00826	2.63
1955	55	0.01929	2.59	0.01162	2.64
1955	60	0.02901	2.61	0.01803	2.66
1955	65	0.04461	2.60	0.02956	2.65
1955	70	0.07201	2.54	0.04957	2.61
1955	75	0.11130	2.45	0.08224	2.53
1955	80	0.17164	2.32	0.13161	2.42
1955	85	0.25670	2.15	0.20816	2.26
1955	90	0.35833	1.93	0.30002	2.05
1955	95	0.49281	1.69	0.43220	1.81
1955	100	0.59352	1.68	0.54181	1.85
1960	0	0.20823	0.33	0.21090	0.35
1960	1	0.02870	1.35	0.03365	1.36
1960	5	0.00247	2.50	0.00217	2.50
1960	10	0.00197	2.50	0.00151	2.50
1960	15	0.00215	2.57	0.00181	2.53
1960	20	0.00276	2.59	0.00181	2.54
1960	25	0.00340	2.56	0.00224	2.58
1960	30	0.00375	2.57	0.00270	2.58
1960	35	0.00496	2.59	0.00332	2.55
1960	40	0.00603	2.61	0.00361	2.57
1960	45	0.00899	2.67	0.00484	2.66
1960	50	0.01508	2.63	0.00813	2.66
1960	55	0.01924	2.60	0.01132	2.64
1960	60	0.02891	2.61	0.01789	2.66
1960	65	0.04394	2.59	0.02947	2.64
1960	70	0.06936	2.55	0.04806	2.61
1960	75	0.11112	2.46	0.08174	2.54
1960	80	0.17148	2.32	0.13106	2.42
1960	85	0.25848	2.12	0.20905	2.24
1960	90	0.36273	1.90	0.30121	2.03
1960	95	0.53363	1.54	0.44918	1.72
1960	100	1.58802	0.63	0.56547	1.77
1965	0	0.19197	0.33	0.19144	0.35
1965	1	0.02433	1.35	0.02777	1.36
1965	5	0.00215	2.50	0.00184	2.50
1965	10	0.00172	2.50	0.00129	2.50
1965	15	0.00195	2.58	0.00155	2.54
1965	20	0.00254	2.59	0.00162	2.55
1965	25	0.00310	2.56	0.00202	2.58
