Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.24817	0.33	0.21073	0.35
1950	1	0.04731	1.56	0.04589	1.57
1950	5	0.01474	2.08	0.01480	2.10
1950	10	0.00737	2.36	0.00766	2.36
1950	15	0.00811	2.58	0.00802	2.52
1950	20	0.01147	2.56	0.00916	2.54
1950	25	0.01219	2.50	0.01072	2.54
1950	30	0.01302	2.51	0.01251	2.54
1950	35	0.01484	2.54	0.01436	2.52
1950	40	0.01793	2.54	0.01561	2.50
1950	45	0.02150	2.54	0.01687	2.52
1950	50	0.02658	2.54	0.02050	2.56
1950	55	0.03468	2.55	0.02794	2.58
1950	60	0.04767	2.54	0.04057	2.58
1950	65	0.06834	2.52	0.06116	2.55
1950	70	0.10569	2.46	0.09450	2.48
1950	75	0.15933	2.34	0.14097	2.37
1950	80	0.23996	2.16	0.21101	2.22
1950	85	0.34914	1.92	0.29961	2.01
1950	90	0.47739	1.63	0.40180	1.77
1950	95	0.62080	1.30	0.51383	1.52
1950	100	0.74113	1.35	0.63175	1.58
1955	0	0.22328	0.33	0.18890	0.35
1955	1	0.04227	1.56	0.04075	1.57
1955	5	0.01330	2.09	0.01323	2.10
1955	10	0.00668	2.37	0.00689	2.36
1955	15	0.00745	2.58	0.00726	2.52
1955	20	0.01054	2.56	0.00832	2.54
1955	25	0.01118	2.50	0.00974	2.54
1955	30	0.01195	2.52	0.01134	2.54
1955	35	0.01359	2.54	0.01300	2.52
1955	40	0.01642	2.54	0.01422	2.51
1955	45	0.01971	2.54	0.01542	2.53
1955	50	0.02453	2.55	0.01887	2.57
1955	55	0.03202	2.56	0.02567	2.59
1955	60	0.04424	2.55	0.03737	2.59
1955	65	0.06362	2.53	0.05648	2.56
1955	70	0.09823	2.47	0.08741	2.49
1955	75	0.14819	2.36	0.13089	2.40
1955	80	0.22383	2.20	0.19691	2.25
1955	85	0.32761	1.96	0.28150	2.05
1955	90	0.45164	1.68	0.38079	1.82
1955	95	0.59339	1.36	0.49214	1.57
1955	100	0.71696	1.39	0.61130	1.64
1960	0	0.19425	0.33	0.16342	0.35
1960	1	0.03633	1.56	0.03473	1.57
1960	5	0.01158	2.10	0.01138	2.11
1960	10	0.00586	2.37	0.00598	2.37
1960	15	0.00665	2.59	0.00635	2.53
1960	20	0.00942	2.56	0.00733	2.55
1960	25	0.00999	2.50	0.00857	2.55
1960	30	0.01067	2.52	0.00994	2.54
1960	35	0.01210	2.54	0.01139	2.52
1960	40	0.01462	2.55	0.01257	2.51
1960	45	0.01757	2.55	0.01369	2.53
1960	50	0.02210	2.56	0.01692	2.57
1960	55	0.02887	2.56	0.02298	2.59
1960	60	0.04019	2.56	0.03359	2.60
1960	65	0.05809	2.55	0.05099	2.57
1960	70	0.08961	2.49	0.07921	2.51
1960	75	0.13555	2.39	0.11940	2.42
1960	80	0.20567	2.24	0.18099	2.29
1960	85	0.30344	2.02	0.26118	2.10
1960	90	0.42265	1.75	0.35727	1.88
1960	95	0.56240	1.43	0.46784	1.63
1960	100	0.68923	1.45	0.58852	1.70
1965	0	0.17780	0.33	0.14992	0.35
1965	1	0.03295	1.56	0.03154	1.57
1965	5	0.01059	2.10	0.01038	2.11
1965	10	0.00538	2.38	0.00548	2.37
1965	15	0.00619	2.59	0.00586	2.53
1965	20	0.00877	2.57	0.00679	2.55
1965	25	0.00929	2.51	0.00794	2.55
1965	30	0.00992	2.52	0.00919	2.54
1965	35	0.01124	2.54	0.01051	2.53
1965	40	0.01358	2.55	0.01168	2.52
1965	45	0.01633	2.55	0.01276	2.54
1965	50	0.02069	2.56	0.01588	2.58
1965	55	0.02705	2.57	0.02153	2.60
1965	60	0.03787	2.57	0.03157	2.60
1965	65	0.05492	2.55	0.04808	2.58
1965	70	0.08472	2.50	0.07489	2.52
1965	75	0.12850	2.41	0.11342	2.44
1965	80	0.19559	2.26	0.17278	2.30
1965	85	0.29003	2.05	0.25077	2.12
1965	90	0.40656	1.78	0.34528	1.91
1965	95	0.54514	1.47	0.45548	1.66
1965	100	0.67365	1.48	0.57704	1.73
1970	0	0.16797	0.33	0.14173	0.35
1970	1	0.03092	1.35	0.02973	1.36
1970	5	0.00989	2.50	0.00971	2.50
1970	10	0.00506	2.50	0.00516	2.50
1970	15	0.00588	2.59	0.00555	2.53
1970	20	0.00834	2.57	0.00645	2.55
1970	25	0.00883	2.51	0.00754	2.55
1970	30	0.00943	2.52	0.00871	2.54
1970	35	0.01066	2.54	0.00996	2.53
1970	40	0.01289	2.55	0.01112	2.52
