Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.09900	0.31	0.08154	0.28
1950	1	0.01468	1.37	0.01448	1.40
1950	5	0.00302	2.50	0.00253	2.50
1950	10	0.00198	2.50	0.00159	2.50
1950	15	0.00299	2.64	0.00213	2.60
1950	20	0.00405	2.55	0.00265	2.57
1950	25	0.00397	2.50	0.00313	2.57
1950	30	0.00430	2.55	0.00380	2.58
1950	35	0.00524	2.58	0.00474	2.58
1950	40	0.00680	2.61	0.00598	2.58
1950	45	0.00936	2.62	0.00755	2.60
1950	50	0.01349	2.63	0.01046	2.62
1950	55	0.01965	2.64	0.01477	2.64
1950	60	0.03288	2.65	0.02377	2.65
1950	65	0.05501	2.59	0.03824	2.63
1950	70	0.08971	2.50	0.06449	2.57
1950	75	0.13769	2.39	0.10354	2.47
1950	80	0.20837	2.23	0.15911	2.34
1950	85	0.30739	2.01	0.23416	2.16
1950	90	0.42454	1.74	0.32822	1.95
1950	95	0.57025	1.42	0.44937	1.68
1950	100	0.72301	1.38	0.58111	1.72
1955	0	0.08350	0.27	0.06807	0.24
1955	1	0.01149	1.42	0.01140	1.42
1955	5	0.00226	2.50	0.00168	2.50
1955	10	0.00155	2.50	0.00105	2.50
1955	15	0.00240	2.64	0.00139	2.60
1955	20	0.00312	2.54	0.00172	2.58
1955	25	0.00299	2.50	0.00208	2.58
1955	30	0.00323	2.55	0.00263	2.60
1955	35	0.00399	2.60	0.00347	2.61
1955	40	0.00532	2.62	0.00463	2.61
1955	45	0.00764	2.64	0.00618	2.62
1955	50	0.01146	2.65	0.00885	2.63
1955	55	0.01742	2.67	0.01282	2.66
1955	60	0.03027	2.67	0.02165	2.67
1955	65	0.05260	2.61	0.03658	2.65
1955	70	0.08732	2.52	0.06366	2.59
1955	75	0.13608	2.40	0.10435	2.48
1955	80	0.20805	2.24	0.16257	2.34
1955	85	0.31140	2.00	0.24147	2.15
1955	90	0.43318	1.73	0.34146	1.93
1955	95	0.58247	1.40	0.46948	1.64
1955	100	0.73995	1.35	0.60878	1.64
1960	0	0.07232	0.24	0.05841	0.22
1960	1	0.00927	1.45	0.00919	1.43
1960	5	0.00183	2.50	0.00127	2.50
1960	10	0.00130	2.50	0.00080	2.50
1960	15	0.00208	2.64	0.00106	2.60
1960	20	0.00264	2.53	0.00132	2.58
1960	25	0.00251	2.50	0.00161	2.59
1960	30	0.00272	2.56	0.00208	2.61
1960	35	0.00340	2.60	0.00283	2.63
1960	40	0.00460	2.63	0.00391	2.63
1960	45	0.00679	2.66	0.00542	2.64
1960	50	0.01043	2.66	0.00792	2.64
1960	55	0.01627	2.68	0.01165	2.67
1960	60	0.02864	2.68	0.02023	2.69
1960	65	0.05042	2.62	0.03512	2.66
1960	70	0.08417	2.53	0.06215	2.60
1960	75	0.13230	2.41	0.10336	2.49
1960	80	0.20346	2.25	0.16277	2.34
1960	85	0.30711	2.02	0.24390	2.15
1960	90	0.42959	1.74	0.34748	1.92
1960	95	0.57842	1.41	0.47982	1.62
1960	100	0.73623	1.36	0.62421	1.60
1965	0	0.06620	0.22	0.05295	0.20
1965	1	0.00809	1.46	0.00799	1.44
1965	5	0.00170	2.50	0.00111	2.50
1965	10	0.00123	2.50	0.00071	2.50
1965	15	0.00204	2.65	0.00095	2.60
1965	20	0.00264	2.54	0.00118	2.59
1965	25	0.00255	2.51	0.00145	2.59
1965	30	0.00278	2.56	0.00188	2.62
1965	35	0.00349	2.60	0.00260	2.63
1965	40	0.00474	2.63	0.00364	2.63
1965	45	0.00698	2.66	0.00513	2.64
1965	50	0.01072	2.66	0.00754	2.65
1965	55	0.01666	2.67	0.01116	2.67
1965	60	0.02844	2.66	0.01944	2.69
1965	65	0.04853	2.61	0.03384	2.66
1965	70	0.07971	2.53	0.06005	2.60
1965	75	0.12500	2.42	0.10063	2.49
1965	80	0.19189	2.27	0.15951	2.35
1965	85	0.28905	2.05	0.24052	2.16
1965	90	0.40517	1.79	0.34426	1.93
1965	95	0.54627	1.47	0.47686	1.63
1965	100	0.69630	1.44	0.62198	1.61
1970	0	0.06355	0.22	0.05043	0.20
1970	1	0.00761	1.47	0.00746	1.45
1970	5	0.00171	2.50	0.00106	2.50
1970	10	0.00124	2.50	0.00068	2.50
1970	15	0.00211	2.67	0.00093	2.61
1970	20	0.00281	2.55	0.00116	2.59
1970	25	0.00276	2.51	0.00142	2.59
1970	30	0.00304	2.56	0.00184	2.62
1970	35	0.00382	2.60	0.00255	2.63
1970	40	0.00516	2.63	0.00357	2.64
1970	45	0.00754	2.65	0.00506	2.64
1970	50	0.01144	2.65	0.00744	2.65
1970	55	0.01756	2.65	0.01103	2.67
1970	60	0.02865	2.64	0.01898	2.69
1970	65	0.04676	2.60	0.03266	2.66
1970	70	0.07508	2.53	0.05770	2.61
1970	75	0.11718	2.44	0.09704	2.50
1970	80	0.17925	2.30	0.15435	2.36
1970	85	0.26866	2.10	0.23358	2.17
1970	90	0.37672	1.85	0.33511	1.95
1970	95	0.50844	1.55	0.46500	1.66
1970	100	0.64886	1.54	0.60756	1.65
1975	0	0.06299	0.22	0.04956	0.19
1975	1	0.00746	1.47	0.00732	1.45
1975	5	0.00178	2.50	0.00104	2.50
1975	10	0.00130	2.50	0.00067	2.50
