Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.17087	0.33	0.15554	0.35
1950	1	0.03135	1.35	0.03361	1.36
1950	5	0.00763	2.50	0.00899	2.50
1950	10	0.00393	2.50	0.00476	2.50
1950	15	0.00593	2.66	0.00683	2.61
1950	20	0.00906	2.57	0.00857	2.55
1950	25	0.00901	2.49	0.00935	2.51
1950	30	0.00925	2.51	0.00971	2.50
1950	35	0.01035	2.54	0.01045	2.50
1950	40	0.01258	2.55	0.01098	2.51
1950	45	0.01522	2.57	0.01198	2.55
1950	50	0.02004	2.58	0.01593	2.59
1950	55	0.02729	2.59	0.02207	2.63
1950	60	0.04077	2.58	0.03629	2.62
1950	65	0.06076	2.55	0.05709	2.58
1950	70	0.09630	2.49	0.09380	2.51
1950	75	0.15300	2.37	0.15065	2.38
1950	80	0.23803	2.18	0.23765	2.18
1950	85	0.35353	1.92	0.34591	1.93
1950	90	0.50051	1.59	0.47967	1.63
1950	95	0.60618	1.46	0.58586	1.49
1950	100	0.72945	1.37	0.70781	1.41
1955	0	0.15287	0.33	0.13977	0.35
1955	1	0.02764	1.35	0.02977	1.36
1955	5	0.00666	2.50	0.00800	2.50
1955	10	0.00351	2.50	0.00426	2.50
1955	15	0.00531	2.66	0.00615	2.61
1955	20	0.00812	2.57	0.00774	2.55
1955	25	0.00807	2.49	0.00846	2.51
1955	30	0.00836	2.51	0.00878	2.51
1955	35	0.00939	2.55	0.00949	2.51
1955	40	0.01148	2.56	0.01005	2.51
1955	45	0.01401	2.57	0.01104	2.56
1955	50	0.01859	2.59	0.01472	2.60
1955	55	0.02547	2.60	0.02044	2.63
1955	60	0.03810	2.59	0.03355	2.63
1955	65	0.05692	2.56	0.05297	2.59
1955	70	0.09060	2.51	0.08748	2.52
1955	75	0.14487	2.39	0.14132	2.40
1955	80	0.22694	2.21	0.22464	2.21
1955	85	0.34021	1.95	0.33005	1.96
1955	90	0.48352	1.63	0.45992	1.68
1955	95	0.59090	1.48	0.56738	1.52
1955	100	0.71646	1.40	0.69154	1.45
1960	0	0.13892	0.33	0.12634	0.35
1960	1	0.02456	1.35	0.02613	1.36
1960	5	0.00589	2.50	0.00699	2.50
1960	10	0.00318	2.50	0.00381	2.50
1960	15	0.00482	2.67	0.00556	2.62
1960	20	0.00740	2.57	0.00700	2.55
1960	25	0.00734	2.49	0.00767	2.51
1960	30	0.00776	2.52	0.00796	2.51
1960	35	0.00871	2.55	0.00862	2.51
1960	40	0.01073	2.56	0.00920	2.52
1960	45	0.01317	2.58	0.01019	2.56
1960	50	0.01757	2.59	0.01360	2.60
1960	55	0.02422	2.60	0.01895	2.63
1960	60	0.03627	2.59	0.03102	2.63
1960	65	0.05436	2.57	0.04928	2.60
1960	70	0.08689	2.52	0.08200	2.54
1960	75	0.13967	2.40	0.13336	2.42
1960	80	0.22005	2.22	0.21389	2.23
1960	85	0.33214	1.97	0.31721	1.99
1960	90	0.47381	1.65	0.44477	1.71
1960	95	0.58234	1.50	0.55342	1.54
1960	100	0.70943	1.41	0.67965	1.47
1965	0	0.12828	0.33	0.11637	0.35
1965	1	0.02223	1.35	0.02323	1.36
1965	5	0.00539	2.50	0.00634	2.50
1965	10	0.00296	2.50	0.00348	2.50
1965	15	0.00449	2.67	0.00511	2.62
1965	20	0.00688	2.57	0.00644	2.55
1965	25	0.00683	2.50	0.00709	2.51
1965	30	0.00729	2.52	0.00737	2.51
1965	35	0.00820	2.55	0.00802	2.52
1965	40	0.01016	2.57	0.00863	2.52
1965	45	0.01256	2.58	0.00963	2.56
1965	50	0.01686	2.59	0.01291	2.60
1965	55	0.02335	2.60	0.01803	2.63
1965	60	0.03501	2.60	0.02949	2.64
1965	65	0.05256	2.57	0.04703	2.61
1965	70	0.08428	2.52	0.07865	2.55
1965	75	0.13607	2.41	0.12864	2.43
1965	80	0.21529	2.23	0.20758	2.25
1965	85	0.32659	1.98	0.30979	2.01
1965	90	0.46730	1.67	0.43634	1.73
1965	95	0.57663	1.50	0.54577	1.56
1965	100	0.70483	1.42	0.67333	1.49
1970	0	0.12344	0.33	0.10535	0.35
1970	1	0.02119	1.35	0.02023	1.36
1970	5	0.00515	2.50	0.00565	2.50
1970	10	0.00286	2.50	0.00312	2.50
1970	15	0.00433	2.67	0.00460	2.62
1970	20	0.00663	2.57	0.00583	2.56
1970	25	0.00658	2.50	0.00644	2.52
1970	30	0.00705	2.52	0.00672	2.51
1970	35	0.00795	2.55	0.00736	2.52
1970	40	0.00989	2.57	0.00801	2.53
1970	45	0.01227	2.58	0.00902	2.57
1970	50	0.01652	2.60	0.01216	2.61
1970	55	0.02293	2.60	0.01701	2.64
1970	60	0.03440	2.60	0.02783	2.64
1970	65	0.05170	2.58	0.04457	2.61
1970	70	0.08301	2.53	0.07497	2.56
1970	75	0.13434	2.42	0.12350	2.45
1970	80	0.21300	2.24	0.20074	2.27
1970	85	0.32391	1.99	0.30180	2.03
1970	90	0.46421	1.68	0.42742	1.75
1970	95	0.57392	1.51	0.53776	1.57
1970	100	0.70266	1.42	0.66685	1.50
1975	0	0.11419	0.33	0.09811	0.33
1975	1	0.01905	1.35	0.01809	1.37
1975	5	0.00469	2.50	0.00516	2.50
1975	10	0.00265	2.50	0.00287	2.50
1975	15	0.00401	2.67	0.00425	2.62
1975	20	0.00613	2.57	0.00540	2.56
1975	25	0.00609	2.50	0.00598	2.52
1975	30	0.00659	2.53	0.00626	2.52
1975	35	0.00745	2.56	0.00688	2.52
1975	40	0.00933	2.57	0.00755	2.53
1975	45	0.01167	2.59	0.00857	2.57
1975	50	0.01583	2.60	0.01160	2.61
1975	55	0.02208	2.61	0.01626	2.64
1975	60	0.03316	2.60	0.02660	2.65
1975	65	0.04994	2.58	0.04276	2.62
1975	70	0.08046	2.53	0.07228	2.56
1975	75	0.13084	2.43	0.11973	2.46
1975	80	0.20840	2.25	0.19574	2.28
1975	85	0.31858	2.00	0.29595	2.04
1975	90	0.45812	1.69	0.42117	1.77
1975	95	0.56863	1.52	0.53194	1.58
1975	100	0.69849	1.43	0.66219	1.51
1980	0	0.10528	0.33	0.09230	0.31
1980	1	0.01723	1.36	0.01621	1.38
1980	5	0.00427	2.50	0.00475	2.50
1980	10	0.00245	2.50	0.00266	2.50
1980	15	0.00370	2.67	0.00394	2.62
1980	20	0.00565	2.58	0.00503	2.56
1980	25	0.00563	2.51	0.00559	2.52
1980	30	0.00614	2.53	0.00586	2.52
1980	35	0.00698	2.56	0.00647	2.53
1980	40	0.00880	2.58	0.00716	2.53
1980	45	0.01109	2.59	0.00818	2.57
1980	50	0.01516	2.60	0.01111	2.61
1980	55	0.02125	2.61	0.01560	2.64
1980	60	0.03195	2.60	0.02553	2.65
1980	65	0.04822	2.59	0.04118	2.62
1980	70	0.07796	2.54	0.06993	2.57
1980	75	0.12741	2.43	0.11644	2.47
1980	80	0.20389	2.26	0.19139	2.29
1980	85	0.31334	2.01	0.29088	2.06
1980	90	0.45221	1.70	0.41593	1.78
1980	95	0.56351	1.53	0.52695	1.59
1980	100	0.69450	1.44	0.65822	1.52
1985	0	0.09174	0.29	0.08392	0.29
1985	1	0.01465	1.39	0.01360	1.40
1985	5	0.00362	2.50	0.00415	2.50
1985	10	0.00215	2.50	0.00234	2.50
1985	15	0.00324	2.67	0.00350	2.63
1985	20	0.00493	2.58	0.00448	2.57
1985	25	0.00493	2.51	0.00501	2.52
1985	30	0.00546	2.54	0.00527	2.52
1985	35	0.00624	2.57	0.00586	2.53
1985	40	0.00796	2.59	0.00657	2.54
1985	45	0.01018	2.60	0.00759	2.58
1985	50	0.01410	2.61	0.01038	2.61
1985	55	0.01993	2.62	0.01461	2.64
1985	60	0.03004	2.61	0.02392	2.65
1985	65	0.04551	2.59	0.03880	2.63
1985	70	0.07402	2.55	0.06638	2.58
1985	75	0.12201	2.45	0.11149	2.48
1985	80	0.19681	2.28	0.18486	2.31
1985	85	0.30516	2.03	0.28332	2.07
1985	90	0.44316	1.72	0.40815	1.79
1985	95	0.55574	1.54	0.51972	1.60
1985	100	0.68858	1.45	0.65264	1.53
1990	0	0.08000	0.26	0.07309	0.26
1990	1	0.01230	1.43	0.01088	1.41
1990	5	0.00303	2.50	0.00344	2.50
1990	10	0.00187	2.50	0.00198	2.50
1990	15	0.00281	2.67	0.00298	2.63
