Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.21144	0.33	0.19963	0.35
1950	1	0.02541	1.35	0.03423	1.36
1950	5	0.00865	2.50	0.01034	2.50
1950	10	0.00661	2.50	0.00731	2.50
1950	15	0.00875	2.59	0.00881	2.57
1950	20	0.01102	2.54	0.01092	2.56
1950	25	0.01177	2.51	0.01280	2.54
1950	30	0.01287	2.52	0.01496	2.53
1950	35	0.01491	2.53	0.01727	2.52
1950	40	0.01764	2.55	0.01987	2.52
1950	45	0.02214	2.55	0.02354	2.53
1950	50	0.02859	2.55	0.02857	2.53
1950	55	0.03788	2.54	0.03627	2.54
1950	60	0.05172	2.52	0.04865	2.52
1950	65	0.07135	2.49	0.06574	2.49
1950	70	0.10022	2.43	0.09017	2.44
1950	75	0.13840	2.37	0.12376	2.37
1950	80	0.21369	2.23	0.16775	2.27
1950	85	0.32305	1.99	0.22176	2.18
1950	90	0.47256	1.58	0.32778	1.91
1950	95	0.44644	1.63	0.34034	1.87
1950	100	0.62750	1.59	0.48641	2.06
1955	0	0.19249	0.33	0.18132	0.35
1955	1	0.02299	1.35	0.03081	1.36
1955	5	0.00740	2.50	0.00924	2.50
1955	10	0.00548	2.50	0.00627	2.50
1955	15	0.00719	2.59	0.00729	2.56
1955	20	0.00902	2.54	0.00903	2.56
1955	25	0.00966	2.52	0.01081	2.55
1955	30	0.01071	2.53	0.01303	2.55
1955	35	0.01268	2.55	0.01532	2.53
1955	40	0.01531	2.56	0.01791	2.53
1955	45	0.01970	2.57	0.02137	2.53
1955	50	0.02557	2.56	0.02570	2.53
1955	55	0.03379	2.55	0.03256	2.55
1955	60	0.04657	2.54	0.04461	2.54
1955	65	0.06484	2.51	0.06137	2.51
1955	70	0.09407	2.45	0.08501	2.46
1955	75	0.12965	2.39	0.11679	2.38
1955	80	0.20018	2.26	0.15731	2.29
1955	85	0.30262	2.03	0.20690	2.21
1955	90	0.44267	1.65	0.30581	1.95
1955	95	0.41821	1.69	0.32111	1.92
1955	100	0.58782	1.70	0.45892	2.18
1960	0	0.17758	0.33	0.16670	0.35
1960	1	0.02092	1.35	0.02786	1.36
1960	5	0.00652	2.50	0.00845	2.50
1960	10	0.00462	2.50	0.00536	2.50
1960	15	0.00558	2.57	0.00551	2.54
1960	20	0.00673	2.54	0.00682	2.58
1960	25	0.00733	2.53	0.00861	2.58
1960	30	0.00846	2.55	0.01097	2.57
1960	35	0.01038	2.57	0.01320	2.55
1960	40	0.01303	2.58	0.01568	2.54
1960	45	0.01749	2.58	0.01895	2.54
1960	50	0.02318	2.57	0.02274	2.54
1960	55	0.03076	2.57	0.02893	2.56
1960	60	0.04329	2.55	0.04147	2.56
1960	65	0.06036	2.52	0.05857	2.52
1960	70	0.08831	2.46	0.08006	2.47
1960	75	0.12167	2.40	0.11040	2.40
1960	80	0.18786	2.29	0.14846	2.31
1960	85	0.28399	2.07	0.19496	2.23
1960	90	0.41542	1.70	0.28817	1.99
1960	95	0.39247	1.74	0.30403	1.95
1960	100	0.55163	1.81	0.43452	2.30
1965	0	0.16676	0.33	0.15571	0.35
1965	1	0.01939	1.35	0.02561	1.36
1965	5	0.00559	2.50	0.00729	2.50
1965	10	0.00352	2.50	0.00413	2.50
1965	15	0.00402	2.56	0.00434	2.55
1965	20	0.00481	2.55	0.00549	2.58
1965	25	0.00527	2.55	0.00677	2.58
1965	30	0.00636	2.58	0.00855	2.57
1965	35	0.00807	2.59	0.01012	2.55
1965	40	0.01067	2.61	0.01204	2.56
1965	45	0.01487	2.61	0.01506	2.56
1965	50	0.02053	2.59	0.01907	2.57
1965	55	0.02799	2.58	0.02520	2.59
1965	60	0.04073	2.56	0.03804	2.58
1965	65	0.05674	2.53	0.05479	2.53
1965	70	0.08310	2.47	0.07529	2.48
1965	75	0.11481	2.42	0.10463	2.41
1965	80	0.17726	2.31	0.14126	2.33
1965	85	0.26797	2.11	0.19392	2.24
1965	90	0.39200	1.75	0.28662	1.99
1965	95	0.37033	1.79	0.29004	1.97
1965	100	0.52053	1.92	0.41452	2.41
1970	0	0.15400	0.33	0.14427	0.35
1970	1	0.01748	1.35	0.02316	1.36
1970	5	0.00460	2.50	0.00589	2.50
1970	10	0.00252	2.50	0.00296	2.50
1970	15	0.00293	2.57	0.00376	2.60
1970	20	0.00360	2.55	0.00491	2.57
1970	25	0.00390	2.55	0.00549	2.54
1970	30	0.00486	2.59	0.00633	2.54
1970	35	0.00624	2.61	0.00716	2.55
1970	40	0.00870	2.62	0.00846	2.57
1970	45	0.01227	2.62	0.01104	2.60
1970	50	0.01778	2.61	0.01538	2.61
1970	55	0.02527	2.61	0.02158	2.62
1970	60	0.03813	2.58	0.03404	2.60
1970	65	0.05335	2.54	0.04918	2.55
1970	70	0.07849	2.49	0.07067	2.50
1970	75	0.10912	2.43	0.09932	2.44
1970	80	0.16847	2.33	0.14108	2.35
1970	85	0.25468	2.13	0.19368	2.24
1970	90	0.37256	1.79	0.28627	1.98
1970	95	0.35197	1.83	0.27807	1.99
1970	100	0.49471	2.02	0.39742	2.52
1975	0	0.13583	0.33	0.12651	0.35
1975	1	0.01459	1.35	0.01972	1.36
1975	5	0.00385	2.50	0.00479	2.50
1975	10	0.00202	2.50	0.00227	2.50
1975	15	0.00241	2.58	0.00333	2.63
1975	20	0.00304	2.55	0.00435	2.56
1975	25	0.00323	2.56	0.00460	2.51
1975	30	0.00409	2.59	0.00481	2.52
1975	35	0.00525	2.62	0.00535	2.55
1975	40	0.00763	2.63	0.00641	2.58
1975	45	0.01075	2.63	0.00852	2.63
1975	50	0.01616	2.63	0.01275	2.64
1975	55	0.02362	2.62	0.01866	2.64
1975	60	0.03673	2.59	0.03050	2.61
1975	65	0.05167	2.54	0.04389	2.57
1975	70	0.07568	2.49	0.06628	2.53
1975	75	0.10604	2.44	0.09617	2.45
1975	80	0.16373	2.34	0.13661	2.35
1975	85	0.24751	2.15	0.18753	2.26
1975	90	0.36206	1.81	0.27719	2.00
1975	95	0.34206	1.85	0.26892	2.01
1975	100	0.48078	2.08	0.38433	2.60
1980	0	0.11759	0.33	0.10936	0.35
1980	1	0.01169	1.35	0.01614	1.36
1980	5	0.00334	2.50	0.00426	2.50
1980	10	0.00175	2.50	0.00196	2.50
1980	15	0.00211	2.59	0.00310	2.64
1980	20	0.00271	2.56	0.00395	2.55
1980	25	0.00288	2.56	0.00406	2.50
1980	30	0.00367	2.60	0.00407	2.51
1980	35	0.00473	2.62	0.00452	2.55
1980	40	0.00698	2.64	0.00553	2.59
1980	45	0.01005	2.65	0.00748	2.64
1980	50	0.01548	2.64	0.01169	2.65
1980	55	0.02302	2.63	0.01756	2.66
1980	60	0.03661	2.59	0.02960	2.62
1980	65	0.05176	2.54	0.04298	2.58
1980	70	0.07433	2.49	0.06600	2.53
1980	75	0.10500	2.44	0.09576	2.45
1980	80	0.16212	2.34	0.13601	2.36
1980	85	0.24507	2.15	0.18672	2.26
1980	90	0.35850	1.82	0.27598	2.00
1980	95	0.33869	1.85	0.26775	2.01
1980	100	0.47605	2.10	0.38266	2.61
1985	0	0.10216	0.32	0.09675	0.32
1985	1	0.00961	1.37	0.01344	1.38
1985	5	0.00291	2.50	0.00381	2.50
1985	10	0.00158	2.50	0.00182	2.50
1985	15	0.00195	2.60	0.00293	2.64
1985	20	0.00256	2.57	0.00373	2.54
1985	25	0.00278	2.56	0.00371	2.49
1985	30	0.00350	2.59	0.00369	2.51
1985	35	0.00451	2.62	0.00409	2.56
1985	40	0.00656	2.65	0.00508	2.60
1985	45	0.00971	2.65	0.00699	2.65
