Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.23359	0.33	0.18668	0.35
1950	1	0.03070	1.35	0.03022	1.36
1950	5	0.00793	2.50	0.00645	2.50
1950	10	0.00442	2.50	0.00366	2.50
1950	15	0.00577	2.62	0.00449	2.57
1950	20	0.00843	2.56	0.00545	2.56
1950	25	0.00841	2.49	0.00619	2.55
1950	30	0.00888	2.52	0.00721	2.55
1950	35	0.01023	2.55	0.00831	2.54
1950	40	0.01230	2.55	0.00964	2.53
1950	45	0.01492	2.56	0.01079	2.56
1950	50	0.01920	2.57	0.01423	2.59
1950	55	0.02479	2.62	0.01919	2.64
1950	60	0.04282	2.64	0.03358	2.66
1950	65	0.07396	2.57	0.05874	2.61
1950	70	0.12309	2.43	0.10105	2.49
1950	75	0.18155	2.28	0.15094	2.35
1950	80	0.26840	2.10	0.22095	2.19
1950	85	0.38280	1.84	0.31107	1.99
1950	90	0.51703	1.55	0.42497	1.74
1950	95	0.69215	1.17	0.57243	1.42
1950	100	0.87452	1.14	0.73093	1.37
1955	0	0.19767	0.33	0.15801	0.35
1955	1	0.02540	1.35	0.02503	1.36
1955	5	0.00656	2.50	0.00540	2.50
1955	10	0.00379	2.50	0.00315	2.50
1955	15	0.00510	2.63	0.00396	2.58
1955	20	0.00738	2.56	0.00485	2.56
1955	25	0.00737	2.50	0.00555	2.55
1955	30	0.00785	2.53	0.00648	2.55
1955	35	0.00914	2.55	0.00756	2.55
1955	40	0.01115	2.56	0.00889	2.54
1955	45	0.01386	2.57	0.01017	2.57
1955	50	0.01822	2.58	0.01351	2.60
1955	55	0.02405	2.62	0.01837	2.64
1955	60	0.04078	2.64	0.03186	2.66
1955	65	0.06913	2.57	0.05525	2.61
1955	70	0.11387	2.45	0.09480	2.50
1955	75	0.16907	2.31	0.14344	2.37
1955	80	0.25081	2.13	0.21178	2.21
1955	85	0.35960	1.89	0.30081	2.01
1955	90	0.48765	1.61	0.41269	1.77
1955	95	0.65311	1.25	0.55743	1.45
1955	100	0.82511	1.21	0.71296	1.40
1960	0	0.17051	0.33	0.13646	0.35
1960	1	0.02115	1.35	0.02094	1.36
1960	5	0.00542	2.50	0.00441	2.50
1960	10	0.00324	2.50	0.00262	2.50
1960	15	0.00448	2.63	0.00335	2.59
