Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.25140	0.33	0.26429	0.35
1950	1	0.02684	1.35	0.02680	1.36
1950	5	0.00840	2.50	0.01251	2.50
1950	10	0.00510	2.50	0.00608	2.50
1950	15	0.00382	2.34	0.00498	2.41
1950	20	0.00247	2.46	0.00416	2.51
1950	25	0.00327	2.59	0.00558	2.62
1950	30	0.00400	2.61	0.00780	2.61
1950	35	0.00574	2.65	0.01017	2.59
1950	40	0.00876	2.66	0.01352	2.57
1950	45	0.01365	2.64	0.01652	2.57
1950	50	0.02007	2.63	0.02192	2.58
1950	55	0.03113	2.61	0.03019	2.57
1950	60	0.04586	2.56	0.04082	2.53
1950	65	0.06617	2.49	0.05151	2.56
1950	70	0.08344	2.46	0.09118	2.51
1950	75	0.12789	2.41	0.13384	2.38
1950	80	0.19230	2.26	0.19098	2.24
1950	85	0.27864	2.07	0.26376	2.08
1950	90	0.38805	1.82	0.35597	1.87
1950	95	0.51006	1.54	0.46011	1.64
1950	100	0.63473	1.58	0.57241	1.75
1955	0	0.22233	0.33	0.23247	0.35
1955	1	0.02320	1.35	0.02320	1.36
1955	5	0.00678	2.50	0.00957	2.50
1955	10	0.00431	2.50	0.00491	2.50
1955	15	0.00369	2.39	0.00441	2.44
1955	20	0.00266	2.48	0.00389	2.52
1955	25	0.00341	2.58	0.00504	2.61
1955	30	0.00408	2.60	0.00682	2.60
1955	35	0.00568	2.64	0.00883	2.59
1955	40	0.00855	2.66	0.01169	2.58
1955	45	0.01312	2.64	0.01459	2.58
1955	50	0.01939	2.63	0.01978	2.59
1955	55	0.02957	2.61	0.02753	2.58
1955	60	0.04380	2.57	0.03834	2.54
1955	65	0.06370	2.50	0.04995	2.56
1955	70	0.08255	2.47	0.08300	2.52
1955	75	0.12752	2.41	0.12433	2.41
1955	80	0.18994	2.27	0.18409	2.27
1955	85	0.27581	2.07	0.25601	2.10
1955	90	0.38473	1.83	0.34990	1.89
1955	95	0.50659	1.55	0.45686	1.65
1955	100	0.63156	1.58	0.57263	1.75
1960	0	0.19397	0.33	0.20144	0.35
1960	1	0.01960	1.35	0.01960	1.36
1960	5	0.00548	2.50	0.00730	2.50
1960	10	0.00366	2.50	0.00397	2.50
1960	15	0.00357	2.44	0.00390	2.47
1960	20	0.00288	2.49	0.00364	2.52
1960	25	0.00356	2.57	0.00455	2.59
1960	30	0.00417	2.59	0.00596	2.60
1960	35	0.00564	2.63	0.00764	2.59
1960	40	0.00836	2.65	0.01008	2.59
1960	45	0.01265	2.64	0.01284	2.59
1960	50	0.01879	2.63	0.01780	2.60
1960	55	0.02816	2.61	0.02504	2.59
1960	60	0.04191	2.58	0.03590	2.56
1960	65	0.06144	2.51	0.04833	2.57
1960	70	0.08145	2.48	0.08006	2.53
1960	75	0.12536	2.42	0.12442	2.41
1960	80	0.18972	2.27	0.18397	2.27
1960	85	0.27281	2.08	0.26071	2.10
1960	90	0.38036	1.83	0.35985	1.87
1960	95	0.50107	1.56	0.47243	1.62
1960	100	0.62562	1.60	0.59228	1.69
1965	0	0.16853	0.33	0.17352	0.35
1965	1	0.01619	1.35	0.01620	1.36
1965	5	0.00442	2.50	0.00553	2.50
1965	10	0.00310	2.50	0.00318	2.50
1965	15	0.00345	2.49	0.00342	2.51
1965	20	0.00310	2.51	0.00337	2.53
1965	25	0.00371	2.56	0.00407	2.58
1965	30	0.00426	2.58	0.00517	2.59
1965	35	0.00560	2.62	0.00657	2.59
1965	40	0.00817	2.64	0.00864	2.59
1965	45	0.01217	2.64	0.01124	2.60
1965	50	0.01817	2.63	0.01592	2.61
1965	55	0.02675	2.61	0.02262	2.61
1965	60	0.03999	2.58	0.03341	2.58
1965	65	0.05908	2.52	0.04646	2.57
1965	70	0.08137	2.49	0.07618	2.53
1965	75	0.12574	2.41	0.11719	2.43
1965	80	0.18845	2.27	0.17864	2.29
1965	85	0.27115	2.08	0.25443	2.11
1965	90	0.37774	1.84	0.35421	1.89
1965	95	0.49758	1.57	0.46833	1.63
1965	100	0.62171	1.61	0.59035	1.69
1970	0	0.13362	0.33	0.13595	0.35
1970	1	0.01150	1.35	0.01410	1.36
