Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.28240	0.33	0.24619	0.35
1950	1	0.03660	1.35	0.03481	1.36
1950	5	0.00563	2.50	0.00622	2.50
1950	10	0.00393	2.50	0.00498	2.50
1950	15	0.00553	2.63	0.00656	2.59
1950	20	0.00792	2.58	0.00829	2.56
1950	25	0.00872	2.53	0.00931	2.53
1950	30	0.01002	2.54	0.01057	2.53
1950	35	0.01195	2.56	0.01173	2.52
1950	40	0.01477	2.55	0.01291	2.52
1950	45	0.01791	2.56	0.01450	2.55
1950	50	0.02361	2.56	0.01914	2.58
1950	55	0.03080	2.56	0.02520	2.59
1950	60	0.04364	2.55	0.03756	2.58
1950	65	0.06127	2.52	0.05310	2.55
1950	70	0.08908	2.48	0.08076	2.50
1950	75	0.13353	2.39	0.12183	2.42
1950	80	0.19550	2.25	0.18220	2.28
1950	85	0.28191	2.06	0.25942	2.10
1950	90	0.38948	1.82	0.35547	1.88
1950	95	0.51996	1.53	0.46826	1.62
1950	100	0.67023	1.49	0.55014	1.82
1955	0	0.20373	0.33	0.17832	0.35
1955	1	0.02471	1.35	0.02360	1.36
1955	5	0.00378	2.50	0.00536	2.50
1955	10	0.00263	2.50	0.00422	2.50
1955	15	0.00394	2.65	0.00568	2.60
1955	20	0.00563	2.58	0.00720	2.56
1955	25	0.00613	2.53	0.00809	2.53
1955	30	0.00701	2.55	0.00919	2.53
1955	35	0.00845	2.57	0.01024	2.52
1955	40	0.01062	2.57	0.01137	2.53
1955	45	0.01345	2.59	0.01295	2.56
1955	50	0.01829	2.59	0.01720	2.58
1955	55	0.02496	2.59	0.02283	2.60
1955	60	0.03620	2.58	0.03414	2.59
1955	65	0.05223	2.55	0.04889	2.56
1955	70	0.07774	2.51	0.07505	2.52
1955	75	0.11829	2.43	0.11440	2.44
1955	80	0.17719	2.30	0.17294	2.30
1955	85	0.26131	2.11	0.24886	2.12
1955	90	0.36815	1.87	0.34426	1.91
1955	95	0.49545	1.57	0.45616	1.64
1955	100	0.60897	1.64	0.54092	1.85
1960	0	0.14947	0.33	0.13108	0.35
1960	1	0.01734	1.35	0.01656	1.36
1960	5	0.00262	2.50	0.00435	2.50
1960	10	0.00185	2.50	0.00339	2.50
1960	15	0.00288	2.66	0.00466	2.61
1960	20	0.00412	2.58	0.00595	2.56
1960	25	0.00440	2.53	0.00669	2.54
1960	30	0.00500	2.56	0.00761	2.53
1960	35	0.00612	2.58	0.00853	2.53
1960	40	0.00795	2.60	0.00960	2.54
1960	45	0.01058	2.61	0.01117	2.57
1960	50	0.01494	2.61	0.01496	2.59
1960	55	0.02130	2.61	0.02013	2.60
1960	60	0.03154	2.60	0.03024	2.60
1960	65	0.04661	2.57	0.04411	2.58
1960	70	0.07070	2.53	0.06861	2.54
1960	75	0.10899	2.45	0.10611	2.46
1960	80	0.16630	2.33	0.16280	2.33
1960	85	0.24950	2.14	0.23753	2.15
1960	90	0.35669	1.89	0.33266	1.94
1960	95	0.48393	1.60	0.44444	1.69
1960	100	0.59219	1.69	0.57496	1.74
1965	0	0.10350	0.32	0.09114	0.31
1965	1	0.01172	1.36	0.01117	1.38
1965	5	0.00199	2.50	0.00318	2.50
1965	10	0.00144	2.50	0.00244	2.50
1965	15	0.00231	2.67	0.00354	2.63
1965	20	0.00330	2.58	0.00462	2.57
