Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.17136	0.33	0.14336	0.35
1950	1	0.03512	1.35	0.03195	1.36
1950	5	0.00950	2.50	0.00915	2.50
1950	10	0.00513	2.50	0.00539	2.50
1950	15	0.00628	2.60	0.00589	2.54
1950	20	0.00886	2.57	0.00686	2.55
1950	25	0.00962	2.52	0.00805	2.54
1950	30	0.01061	2.53	0.00918	2.53
1950	35	0.01218	2.54	0.01040	2.53
1950	40	0.01429	2.53	0.01163	2.51
1950	45	0.01644	2.54	0.01255	2.54
1950	50	0.02033	2.55	0.01573	2.57
1950	55	0.02503	2.56	0.02033	2.59
1950	60	0.03452	2.57	0.02974	2.60
1950	65	0.04952	2.56	0.04495	2.59
1950	70	0.07542	2.52	0.07056	2.54
1950	75	0.11633	2.44	0.10963	2.46
1950	80	0.18399	2.31	0.17671	2.33
1950	85	0.28887	2.08	0.27772	2.10
1950	90	0.43515	1.74	0.42202	1.77
1950	95	0.57053	1.41	0.55513	1.44
1950	100	0.68908	1.45	0.67976	1.47
1955	0	0.15986	0.33	0.13385	0.35
1955	1	0.02968	1.35	0.02735	1.36
1955	5	0.00792	2.50	0.00764	2.50
1955	10	0.00436	2.50	0.00456	2.50
1955	15	0.00553	2.61	0.00511	2.55
1955	20	0.00786	2.57	0.00608	2.56
1955	25	0.00856	2.52	0.00720	2.55
1955	30	0.00950	2.53	0.00825	2.54
1955	35	0.01100	2.54	0.00943	2.53
1955	40	0.01302	2.54	0.01068	2.52
1955	45	0.01518	2.55	0.01166	2.54
1955	50	0.01911	2.55	0.01478	2.57
1955	55	0.02382	2.57	0.01923	2.60
1955	60	0.03329	2.58	0.02838	2.61
1955	65	0.04833	2.57	0.04342	2.59
1955	70	0.07425	2.53	0.06893	2.55
1955	75	0.11566	2.45	0.10843	2.47
1955	80	0.18450	2.31	0.17701	2.33
1955	85	0.29226	2.07	0.28204	2.10
1955	90	0.44580	1.72	0.43550	1.74
1955	95	0.59066	1.37	0.58052	1.39
1955	100	0.72048	1.39	0.71882	1.39
1960	0	0.14479	0.33	0.11821	0.35
1960	1	0.02394	1.35	0.02121	1.36
1960	5	0.00638	2.50	0.00583	2.50
1960	10	0.00359	2.50	0.00354	2.50
1960	15	0.00475	2.62	0.00413	2.57
1960	20	0.00682	2.58	0.00508	2.57
1960	25	0.00745	2.53	0.00611	2.56
1960	30	0.00834	2.54	0.00707	2.55
1960	35	0.00974	2.55	0.00819	2.54
1960	40	0.01166	2.55	0.00944	2.53
1960	45	0.01380	2.56	0.01048	2.55
1960	50	0.01775	2.56	0.01349	2.58
1960	55	0.02242	2.57	0.01770	2.60
1960	60	0.03183	2.59	0.02641	2.62
1960	65	0.04685	2.57	0.04106	2.61
1960	70	0.07269	2.53	0.06622	2.56
1960	75	0.11452	2.46	0.10600	2.48
1960	80	0.18448	2.31	0.17629	2.34
1960	85	0.29527	2.07	0.28656	2.10
1960	90	0.45695	1.70	0.45271	1.72
1960	95	0.61283	1.33	0.61495	1.33
1960	100	0.75612	1.32	0.77352	1.29
1965	0	0.13007	0.33	0.10603	0.35
1965	1	0.01946	1.35	0.01732	1.36
1965	5	0.00527	2.50	0.00476	2.50
1965	10	0.00303	2.50	0.00293	2.50
1965	15	0.00416	2.63	0.00352	2.58
1965	20	0.00601	2.58	0.00443	2.58
1965	25	0.00660	2.53	0.00539	2.56
1965	30	0.00745	2.54	0.00628	2.55
1965	35	0.00878	2.56	0.00734	2.55
1965	40	0.01060	2.56	0.00858	2.54
1965	45	0.01272	2.57	0.00963	2.56
1965	50	0.01664	2.57	0.01253	2.59
1965	55	0.02126	2.58	0.01655	2.61
1965	60	0.03058	2.59	0.02490	2.63
1965	65	0.04553	2.58	0.03917	2.61
1965	70	0.07122	2.54	0.06389	2.57
1965	75	0.11328	2.46	0.10357	2.49
1965	80	0.18401	2.32	0.17456	2.35
1965	85	0.29710	2.07	0.28787	2.10
1965	90	0.46541	1.69	0.46237	1.70
1965	95	0.63060	1.30	0.63670	1.29
1965	100	0.78563	1.27	0.81006	1.23
1970	0	0.11452	0.33	0.09313	0.31
1970	1	0.01545	1.35	0.01386	1.38
1970	5	0.00429	2.50	0.00384	2.50
1970	10	0.00251	2.50	0.00240	2.50
1970	15	0.00358	2.65	0.00296	2.59
1970	20	0.00523	2.59	0.00380	2.59
1970	25	0.00575	2.53	0.00467	2.57
1970	30	0.00654	2.55	0.00547	2.56
