Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.11724	0.33	0.10074	0.33
1950	1	0.01213	1.35	0.01229	1.37
1950	5	0.00319	2.50	0.00309	2.50
1950	10	0.00208	2.50	0.00198	2.50
1950	15	0.00310	2.64	0.00269	2.60
1950	20	0.00420	2.55	0.00336	2.57
1950	25	0.00412	2.50	0.00392	2.56
1950	30	0.00445	2.55	0.00463	2.57
1950	35	0.00540	2.58	0.00561	2.57
1950	40	0.00699	2.60	0.00686	2.57
1950	45	0.00956	2.62	0.00840	2.59
1950	50	0.01371	2.62	0.01142	2.61
1950	55	0.01985	2.64	0.01591	2.63
1950	60	0.03342	2.65	0.02526	2.64
1950	65	0.05627	2.59	0.04010	2.62
1950	70	0.09205	2.50	0.06674	2.56
1950	75	0.14099	2.38	0.10582	2.46
1950	80	0.21309	2.22	0.16147	2.33
1950	85	0.31383	1.99	0.23680	2.16
1950	90	0.43281	1.73	0.33057	1.95
1950	95	0.58113	1.40	0.45187	1.68
1950	100	0.73647	1.36	0.58360	1.71
1955	0	0.09126	0.29	0.07802	0.27
1955	1	0.00805	1.39	0.00807	1.40
1955	5	0.00230	2.50	0.00240	2.50
1955	10	0.00159	2.50	0.00164	2.50
1955	15	0.00253	2.65	0.00237	2.62
1955	20	0.00339	2.55	0.00299	2.57
1955	25	0.00333	2.51	0.00350	2.56
1955	30	0.00364	2.55	0.00412	2.57
1955	35	0.00449	2.59	0.00504	2.58
1955	40	0.00595	2.62	0.00622	2.58
1955	45	0.00843	2.64	0.00781	2.60
1955	50	0.01247	2.64	0.01067	2.61
1955	55	0.01865	2.65	0.01497	2.64
1955	60	0.03141	2.65	0.02385	2.64
1955	65	0.05289	2.60	0.03798	2.62
1955	70	0.08616	2.51	0.06306	2.57
1955	75	0.13299	2.40	0.10137	2.48
1955	80	0.20194	2.25	0.15672	2.35
1955	85	0.29986	2.03	0.23365	2.17
1955	90	0.41680	1.76	0.32916	1.95
1955	95	0.56075	1.44	0.45312	1.68
1955	100	0.71272	1.40	0.58838	1.70
1960	0	0.06781	0.23	0.05722	0.21
1960	1	0.00509	1.46	0.00493	1.43
1960	5	0.00175	2.50	0.00185	2.50
1960	10	0.00129	2.50	0.00138	2.50
1960	15	0.00228	2.68	0.00215	2.64
1960	20	0.00317	2.57	0.00274	2.58
1960	25	0.00322	2.52	0.00319	2.56
1960	30	0.00360	2.56	0.00373	2.57
1960	35	0.00452	2.60	0.00457	2.58
1960	40	0.00606	2.62	0.00568	2.59
1960	45	0.00868	2.64	0.00729	2.60
1960	50	0.01289	2.64	0.00998	2.62
1960	55	0.01932	2.64	0.01408	2.64
1960	60	0.03109	2.63	0.02253	2.65
1960	65	0.05003	2.59	0.03605	2.63
1960	70	0.07906	2.52	0.05963	2.58
1960	75	0.12126	2.42	0.09694	2.49
1960	80	0.18334	2.29	0.15208	2.36
1960	85	0.27133	2.09	0.23126	2.18
1960	90	0.37980	1.84	0.32966	1.96
1960	95	0.51283	1.55	0.45817	1.67
1960	100	0.65493	1.53	0.59951	1.67
1965	0	0.05250	0.19	0.04358	0.18
1965	1	0.00349	1.50	0.00326	1.46
1965	5	0.00135	2.50	0.00145	2.50
1965	10	0.00105	2.50	0.00115	2.50
1965	15	0.00201	2.70	0.00190	2.65
1965	20	0.00284	2.57	0.00243	2.58
1965	25	0.00293	2.53	0.00283	2.56
1965	30	0.00331	2.57	0.00331	2.57
1965	35	0.00421	2.61	0.00409	2.58
1965	40	0.00572	2.63	0.00513	2.59
1965	45	0.00833	2.65	0.00673	2.61
1965	50	0.01253	2.65	0.00927	2.62
1965	55	0.01896	2.64	0.01314	2.64
1965	60	0.02993	2.63	0.02120	2.66
1965	65	0.04723	2.59	0.03420	2.63
1965	70	0.07362	2.53	0.05658	2.59
1965	75	0.11299	2.44	0.09287	2.51
1965	80	0.17102	2.31	0.14770	2.38
1965	85	0.25377	2.13	0.22847	2.19
1965	90	0.35796	1.89	0.32960	1.96
1965	95	0.48516	1.60	0.46237	1.66
1965	100	0.62273	1.61	0.60974	1.64
1970	0	0.04349	0.16	0.03570	0.15
1970	1	0.00268	1.53	0.00243	1.47
1970	5	0.00107	2.50	0.00102	2.50
1970	10	0.00086	2.50	0.00081	2.50
1970	15	0.00173	2.71	0.00134	2.65
1970	20	0.00240	2.57	0.00171	2.58
1970	25	0.00244	2.53	0.00201	2.57
1970	30	0.00277	2.57	0.00243	2.59
1970	35	0.00356	2.61	0.00314	2.60
1970	40	0.00492	2.64	0.00412	2.61
1970	45	0.00735	2.66	0.00566	2.63
1970	50	0.01130	2.66	0.00800	2.63
1970	55	0.01749	2.65	0.01155	2.66
1970	60	0.02809	2.64	0.01928	2.67
1970	65	0.04512	2.60	0.03219	2.65
1970	70	0.07097	2.54	0.05447	2.60
1970	75	0.10984	2.45	0.09081	2.52
1970	80	0.16738	2.32	0.14650	2.39
1970	85	0.25067	2.14	0.22922	2.19
1970	90	0.35620	1.90	0.33458	1.95
1970	95	0.48415	1.61	0.47273	1.65
1970	100	0.62365	1.60	0.62717	1.59
1975	0	0.03335	0.14	0.02693	0.13
1975	1	0.00188	1.56	0.00164	1.48
1975	5	0.00085	2.50	0.00077	2.50
1975	10	0.00072	2.50	0.00065	2.50
1975	15	0.00157	2.73	0.00112	2.66
1975	20	0.00225	2.58	0.00142	2.58
1975	25	0.00233	2.53	0.00167	2.57
1975	30	0.00268	2.58	0.00203	2.59
1975	35	0.00347	2.62	0.00267	2.61
1975	40	0.00485	2.64	0.00359	2.63
1975	45	0.00728	2.66	0.00505	2.64
1975	50	0.01123	2.66	0.00722	2.64
1975	55	0.01737	2.65	0.01052	2.67
1975	60	0.02767	2.64	0.01787	2.68
1975	65	0.04407	2.60	0.03037	2.66
1975	70	0.06871	2.54	0.05175	2.61
1975	75	0.10586	2.46	0.08704	2.53
1975	80	0.16113	2.34	0.14255	2.40
1975	85	0.24129	2.16	0.22690	2.21
1975	90	0.34551	1.92	0.33612	1.96
1975	95	0.47186	1.64	0.48020	1.63
1975	100	0.61144	1.64	0.64332	1.55
1980	0	0.02390	0.11	0.01906	0.11
1980	1	0.00124	1.58	0.00106	1.49
1980	5	0.00062	2.50	0.00054	2.50
1980	10	0.00055	2.50	0.00047	2.50
1980	15	0.00134	2.76	0.00085	2.67
1980	20	0.00193	2.58	0.00108	2.58
1980	25	0.00200	2.53	0.00126	2.58
1980	30	0.00232	2.58	0.00157	2.61
1980	35	0.00304	2.62	0.00212	2.63
1980	40	0.00432	2.65	0.00295	2.64
1980	45	0.00661	2.67	0.00429	2.65
1980	50	0.01033	2.66	0.00625	2.65
1980	55	0.01614	2.66	0.00920	2.68
1980	60	0.02615	2.65	0.01635	2.71
1980	65	0.04235	2.61	0.02904	2.67
1980	70	0.06649	2.55	0.05043	2.62
1980	75	0.10264	2.47	0.08549	2.54
1980	80	0.15695	2.35	0.14257	2.41
1980	85	0.23666	2.17	0.23152	2.20
1980	90	0.34285	1.93	0.34976	1.93
1980	95	0.47135	1.64	0.50696	1.58
1980	100	0.61557	1.62	0.68807	1.45
1985	0	0.01763	0.09	0.01406	0.09
1985	1	0.00089	1.60	0.00074	1.50
1985	5	0.00048	2.50	0.00043	2.50
1985	10	0.00045	2.50	0.00040	2.50
1985	15	0.00117	2.78	0.00076	2.68
1985	20	0.00171	2.58	0.00095	2.57
1985	25	0.00179	2.54	0.00110	2.58
1985	30	0.00207	2.59	0.00138	2.61
1985	35	0.00275	2.63	0.00188	2.63
1985	40	0.00396	2.66	0.00265	2.65
1985	45	0.00611	2.67	0.00391	2.65
1985	50	0.00962	2.67	0.00572	2.65
1985	55	0.01510	2.66	0.00845	2.69
1985	60	0.02468	2.65	0.01551	2.72
1985	65	0.04033	2.61	0.02845	2.68
1985	70	0.06364	2.55	0.04983	2.62
1985	75	0.09841	2.48	0.08446	2.54
1985	80	0.15125	2.36	0.14276	2.42
1985	85	0.22951	2.19	0.23598	2.20
1985	90	0.33625	1.95	0.36272	1.91
1985	95	0.46554	1.66	0.53301	1.54
