Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.18049	0.33	0.15495	0.35
1950	1	0.03333	1.28	0.03122	1.29
1950	5	0.00551	1.97	0.00527	1.99
1950	10	0.00290	2.51	0.00305	2.53
1950	15	0.00442	2.73	0.00436	2.64
1950	20	0.00678	2.54	0.00553	2.55
1950	25	0.00673	2.49	0.00612	2.51
1950	30	0.00719	2.52	0.00640	2.51
1950	35	0.00810	2.55	0.00703	2.52
1950	40	0.01006	2.57	0.00769	2.52
1950	45	0.01245	2.58	0.00871	2.57
1950	50	0.01673	2.59	0.01177	2.61
1950	55	0.02319	2.61	0.01649	2.64
1950	60	0.03477	2.60	0.02698	2.65
1950	65	0.05222	2.58	0.04331	2.62
1950	70	0.08376	2.53	0.07309	2.56
1950	75	0.13539	2.41	0.12084	2.46
1950	80	0.21433	2.24	0.19760	2.27
1950	85	0.32626	1.98	0.29820	2.03
1950	90	0.46172	1.69	0.42228	1.77
1950	95	0.60418	1.44	0.55760	1.51
1950	100	0.73457	1.36	0.68893	1.45
1955	0	0.16974	0.33	0.14570	0.35
1955	1	0.02900	1.28	0.02736	1.29
1955	5	0.00493	1.99	0.00471	2.01
1955	10	0.00272	2.52	0.00282	2.53
1955	15	0.00411	2.73	0.00403	2.64
1955	20	0.00626	2.54	0.00513	2.56
1955	25	0.00627	2.49	0.00571	2.52
1955	30	0.00680	2.53	0.00603	2.52
1955	35	0.00773	2.56	0.00666	2.53
1955	40	0.00966	2.57	0.00738	2.53
1955	45	0.01205	2.58	0.00843	2.57
1955	50	0.01631	2.60	0.01144	2.61
1955	55	0.02264	2.61	0.01600	2.64
1955	60	0.03386	2.60	0.02600	2.65
1955	65	0.05073	2.58	0.04156	2.62
1955	70	0.08104	2.53	0.07002	2.57
1955	75	0.13089	2.42	0.11580	2.47
1955	80	0.20698	2.25	0.18951	2.29
1955	85	0.31571	2.00	0.28693	2.06
1955	90	0.44842	1.72	0.40819	1.79
1955	95	0.58959	1.46	0.54198	1.54
1955	100	0.72015	1.39	0.67299	1.49
1960	0	0.15249	0.33	0.13866	0.35
1960	1	0.02336	1.28	0.02466	1.30
1960	5	0.00413	2.02	0.00434	2.03
1960	10	0.00239	2.52	0.00268	2.53
1960	15	0.00361	2.72	0.00383	2.64
1960	20	0.00546	2.55	0.00489	2.56
1960	25	0.00552	2.50	0.00546	2.52
1960	30	0.00610	2.54	0.00581	2.52
1960	35	0.00701	2.56	0.00646	2.53
1960	40	0.00886	2.58	0.00721	2.53
1960	45	0.01122	2.59	0.00830	2.58
1960	50	0.01537	2.60	0.01129	2.61
1960	55	0.02148	2.61	0.01576	2.64
1960	60	0.03211	2.60	0.02544	2.64
1960	65	0.04812	2.58	0.04046	2.62
1960	70	0.07681	2.54	0.06796	2.57
1960	75	0.12438	2.44	0.11221	2.48
1960	80	0.19716	2.28	0.18343	2.30
1960	85	0.30243	2.03	0.27806	2.08
1960	90	0.43251	1.75	0.39661	1.81
1960	95	0.57296	1.49	0.52863	1.56
1960	100	0.70472	1.42	0.65904	1.52
1965	0	0.13970	0.33	0.12699	0.35
1965	1	0.01963	1.29	0.02076	1.30
1965	5	0.00360	2.05	0.00377	2.05
1965	10	0.00218	2.53	0.00240	2.54
1965	15	0.00329	2.72	0.00345	2.64
1965	20	0.00494	2.55	0.00445	2.56
1965	25	0.00504	2.51	0.00500	2.52
1965	30	0.00564	2.54	0.00536	2.52
1965	35	0.00654	2.57	0.00600	2.54
1965	40	0.00834	2.58	0.00678	2.54
1965	45	0.01068	2.60	0.00791	2.58
1965	50	0.01478	2.61	0.01082	2.61
1965	55	0.02076	2.61	0.01511	2.64
