Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.19885	0.33	0.17059	0.35
1950	1	0.05341	1.35	0.05163	1.36
1950	5	0.01538	2.50	0.01660	2.50
1950	10	0.00787	2.50	0.00936	2.50
1950	15	0.00873	2.57	0.00932	2.50
1950	20	0.01204	2.56	0.01008	2.52
1950	25	0.01296	2.50	0.01141	2.52
1950	30	0.01401	2.51	0.01273	2.52
1950	35	0.01571	2.52	0.01397	2.50
1950	40	0.01800	2.51	0.01495	2.49
1950	45	0.01995	2.51	0.01551	2.51
1950	50	0.02350	2.52	0.01874	2.55
1950	55	0.02803	2.54	0.02370	2.57
1950	60	0.03729	2.55	0.03373	2.58
1950	65	0.05181	2.54	0.04901	2.56
1950	70	0.07711	2.51	0.07406	2.51
1950	75	0.11583	2.43	0.11036	2.44
1950	80	0.17902	2.31	0.17019	2.32
1950	85	0.27437	2.10	0.25506	2.13
1950	90	0.39958	1.80	0.36692	1.86
1950	95	0.50924	1.52	0.46129	1.62
1950	100	0.59881	1.67	0.54386	1.84
1955	0	0.19028	0.33	0.16292	0.35
1955	1	0.04571	1.35	0.04410	1.36
1955	5	0.01258	2.50	0.01346	2.50
1955	10	0.00656	2.50	0.00768	2.50
1955	15	0.00758	2.58	0.00787	2.51
1955	20	0.01055	2.56	0.00866	2.53
1955	25	0.01134	2.51	0.00982	2.53
1955	30	0.01233	2.52	0.01099	2.52
1955	35	0.01392	2.53	0.01217	2.51
1955	40	0.01611	2.52	0.01329	2.50
1955	45	0.01814	2.53	0.01403	2.53
1955	50	0.02185	2.53	0.01729	2.56
1955	55	0.02644	2.55	0.02215	2.58
1955	60	0.03576	2.56	0.03202	2.59
1955	65	0.05043	2.55	0.04743	2.57
1955	70	0.07588	2.51	0.07291	2.52
1955	75	0.11539	2.44	0.11058	2.45
1955	80	0.18021	2.31	0.17351	2.32
1955	85	0.27918	2.09	0.26473	2.12
1955	90	0.41284	1.77	0.38944	1.82
1955	95	0.53290	1.48	0.49899	1.55
1955	100	0.63411	1.58	0.59794	1.67
1960	0	0.18261	0.33	0.15573	0.35
1960	1	0.03999	1.35	0.03854	1.36
1960	5	0.01062	2.50	0.01128	2.50
1960	10	0.00561	2.50	0.00650	2.50
1960	15	0.00672	2.59	0.00682	2.52
1960	20	0.00941	2.57	0.00760	2.53
1960	25	0.01010	2.51	0.00863	2.53
1960	30	0.01102	2.52	0.00968	2.53
1960	35	0.01251	2.53	0.01079	2.52
1960	40	0.01460	2.53	0.01199	2.51
1960	45	0.01666	2.54	0.01283	2.53
1960	50	0.02044	2.54	0.01607	2.57
1960	55	0.02504	2.56	0.02081	2.59
1960	60	0.03435	2.57	0.03050	2.60
1960	65	0.04906	2.56	0.04589	2.58
1960	70	0.07451	2.52	0.07156	2.53
1960	75	0.11449	2.45	0.11012	2.46
1960	80	0.18037	2.31	0.17523	2.32
1960	85	0.28197	2.09	0.27128	2.11
1960	90	0.42239	1.76	0.40645	1.79
1960	95	0.55114	1.45	0.52898	1.49
1960	100	0.66238	1.51	0.64240	1.56
1965	0	0.18409	0.33	0.15635	0.35
1965	1	0.03976	1.35	0.03834	1.36
1965	5	0.01028	2.50	0.01108	2.50
1965	10	0.00542	2.50	0.00635	2.50
