Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.28947	0.33	0.20737	0.35
1950	1	0.03914	1.35	0.03307	1.36
1950	5	0.00738	2.50	0.00707	2.50
1950	10	0.00528	2.50	0.00553	2.50
1950	15	0.00729	2.63	0.00736	2.59
1950	20	0.01045	2.58	0.00929	2.55
1950	25	0.01161	2.53	0.01043	2.53
1950	30	0.01340	2.54	0.01183	2.52
1950	35	0.01588	2.54	0.01309	2.51
1950	40	0.01942	2.54	0.01432	2.51
1950	45	0.02300	2.54	0.01592	2.55
1950	50	0.02975	2.54	0.02095	2.57
1950	55	0.03760	2.54	0.02738	2.58
1950	60	0.05245	2.53	0.04076	2.57
1950	65	0.07214	2.49	0.05704	2.54
1950	70	0.10297	2.44	0.08613	2.49
1950	75	0.15283	2.34	0.12889	2.40
1950	80	0.21958	2.19	0.19095	2.26
1950	85	0.31101	1.99	0.27096	2.07
1950	90	0.42276	1.73	0.36623	1.85
1950	95	0.53699	1.50	0.46753	1.64
1950	100	0.69775	1.43	0.53050	1.89
1955	0	0.22964	0.33	0.16725	0.35
1955	1	0.03049	1.35	0.02597	1.36
1955	5	0.00642	2.50	0.00587	2.50
1955	10	0.00465	2.50	0.00458	2.50
1955	15	0.00645	2.63	0.00616	2.60
1955	20	0.00925	2.58	0.00781	2.56
1955	25	0.01024	2.53	0.00877	2.53
1955	30	0.01179	2.54	0.00996	2.53
1955	35	0.01401	2.55	0.01107	2.52
1955	40	0.01720	2.54	0.01223	2.52
1955	45	0.02057	2.55	0.01382	2.56
1955	50	0.02682	2.55	0.01829	2.58
1955	55	0.03435	2.55	0.02416	2.59
1955	60	0.04823	2.54	0.03606	2.58
1955	65	0.06692	2.50	0.05125	2.55
1955	70	0.09626	2.46	0.07823	2.51
1955	75	0.14346	2.36	0.11855	2.42
1955	80	0.20779	2.22	0.17794	2.29
1955	85	0.29685	2.02	0.25576	2.11
1955	90	0.40693	1.77	0.35000	1.89
1955	95	0.52266	1.53	0.45238	1.68
1955	100	0.64885	1.54	0.54539	1.83
1960	0	0.20044	0.33	0.14722	0.35
1960	1	0.02618	1.35	0.02240	1.36
1960	5	0.00577	2.50	0.00519	2.50
1960	10	0.00421	2.50	0.00405	2.50
1960	15	0.00587	2.63	0.00549	2.60
1960	20	0.00841	2.58	0.00698	2.56
1960	25	0.00928	2.53	0.00784	2.53
1960	30	0.01066	2.54	0.00891	2.53
1960	35	0.01270	2.55	0.00994	2.52
1960	40	0.01566	2.55	0.01106	2.53
1960	45	0.01888	2.56	0.01264	2.56
1960	50	0.02478	2.56	0.01681	2.58
1960	55	0.03210	2.56	0.02236	2.60
1960	60	0.04532	2.55	0.03346	2.59
1960	65	0.06333	2.51	0.04805	2.57
1960	70	0.09167	2.47	0.07391	2.52
1960	75	0.13713	2.38	0.11294	2.44
1960	80	0.19988	2.24	0.17098	2.31
1960	85	0.28746	2.04	0.24785	2.13
1960	90	0.39650	1.79	0.34168	1.91
1960	95	0.51343	1.55	0.44495	1.69
1960	100	0.62794	1.59	0.52101	1.92
1965	0	0.15430	0.33	0.11553	0.35
1965	1	0.01874	1.35	0.01602	1.36
1965	5	0.00526	2.50	0.00467	2.50
1965	10	0.00394	2.50	0.00359	2.50
1965	15	0.00550	2.63	0.00496	2.61
1965	20	0.00787	2.58	0.00632	2.56
1965	25	0.00867	2.53	0.00710	2.54
1965	30	0.00995	2.54	0.00808	2.53
1965	35	0.01187	2.56	0.00904	2.53
1965	40	0.01468	2.55	0.01012	2.53
1965	45	0.01781	2.56	0.01170	2.57
1965	50	0.02350	2.56	0.01563	2.59
1965	55	0.03068	2.56	0.02093	2.60
1965	60	0.04349	2.55	0.03140	2.60
1965	65	0.06109	2.52	0.04553	2.57
1965	70	0.08881	2.48	0.07051	2.53
1965	75	0.13321	2.39	0.10855	2.45
1965	80	0.19508	2.25	0.16560	2.32
1965	85	0.28174	2.06	0.24181	2.14
1965	90	0.39026	1.81	0.33550	1.93
1965	95	0.50763	1.57	0.43951	1.71
1965	100	0.61669	1.62	0.54180	1.85
1970	0	0.13737	0.33	0.10350	0.34
1970	1	0.01591	1.35	0.01365	1.37
1970	5	0.00478	2.50	0.00398	2.50
1970	10	0.00360	2.50	0.00305	2.50
1970	15	0.00505	2.63	0.00432	2.62
1970	20	0.00723	2.58	0.00557	2.57
1970	25	0.00793	2.53	0.00629	2.54
1970	30	0.00909	2.55	0.00713	2.54
1970	35	0.01088	2.56	0.00801	2.53
1970	40	0.01350	2.56	0.00904	2.54
1970	45	0.01653	2.57	0.01060	2.57
1970	50	0.02196	2.57	0.01426	2.59
1970	55	0.02898	2.57	0.01929	2.61
1970	60	0.04130	2.56	0.02904	2.60
1970	65	0.05841	2.53	0.04269	2.58
1970	70	0.08542	2.49	0.06671	2.55
1970	75	0.12858	2.40	0.10367	2.47
1970	80	0.18939	2.26	0.15970	2.34
1970	85	0.27510	2.07	0.23535	2.16
1970	90	0.38297	1.83	0.32908	1.94
1970	95	0.50112	1.58	0.43392	1.72
1970	100	0.60599	1.65	0.56091	1.78
1975	0	0.12253	0.33	0.09298	0.31
1975	1	0.01357	1.35	0.01168	1.38
1975	5	0.00438	2.50	0.00341	2.50
1975	10	0.00331	2.50	0.00261	2.50
1975	15	0.00470	2.64	0.00378	2.62
1975	20	0.00674	2.58	0.00493	2.57
1975	25	0.00738	2.53	0.00559	2.54
1975	30	0.00845	2.55	0.00634	2.54
1975	35	0.01013	2.56	0.00717	2.54
1975	40	0.01260	2.56	0.00818	2.55
1975	45	0.01554	2.57	0.00976	2.58
1975	50	0.02077	2.58	0.01323	2.60
1975	55	0.02767	2.58	0.01806	2.61
1975	60	0.03961	2.57	0.02729	2.61
1975	65	0.05635	2.54	0.04060	2.59
1975	70	0.08283	2.49	0.06395	2.55
1975	75	0.12508	2.41	0.10017	2.48
1975	80	0.18515	2.27	0.15562	2.35
1975	85	0.27027	2.09	0.23107	2.17
1975	90	0.37777	1.84	0.32506	1.95
1975	95	0.49656	1.59	0.43066	1.73
1975	100	0.59945	1.67	0.56137	1.78
1980	0	0.10926	0.33	0.08345	0.29
1980	1	0.01156	1.35	0.00998	1.40
1980	5	0.00396	2.50	0.00291	2.50
