Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.25307	0.33	0.20832	0.35
1950	1	0.04845	1.35	0.04659	1.36
1950	5	0.01297	2.50	0.01218	2.50
1950	10	0.00681	2.50	0.00635	2.50
1950	15	0.00977	2.61	0.00902	2.60
1950	20	0.01249	2.54	0.01131	2.54
1950	25	0.01317	2.48	0.01226	2.50
1950	30	0.01314	2.49	0.01274	2.49
1950	35	0.01456	2.53	0.01358	2.49
1950	40	0.01738	2.54	0.01402	2.49
1950	45	0.02055	2.54	0.01504	2.54
1950	50	0.02642	2.56	0.01988	2.58
1950	55	0.03535	2.57	0.02743	2.61
1950	60	0.05269	2.56	0.04536	2.60
1950	65	0.07815	2.51	0.07093	2.55
1950	70	0.12279	2.43	0.11558	2.46
1950	75	0.19213	2.28	0.18384	2.30
1950	80	0.29265	2.05	0.28493	2.07
1950	85	0.41911	1.77	0.40300	1.80
1950	90	0.58855	1.37	0.55984	1.43
1950	95	0.67564	1.32	0.65160	1.37
1950	100	0.78680	1.27	0.76470	1.31
1955	0	0.23214	0.33	0.19240	0.35
1955	1	0.04411	1.35	0.04269	1.36
1955	5	0.01196	2.50	0.01124	2.50
1955	10	0.00631	2.50	0.00588	2.50
1955	15	0.00906	2.61	0.00837	2.60
1955	20	0.01153	2.54	0.01050	2.54
1955	25	0.01214	2.49	0.01140	2.50
1955	30	0.01218	2.50	0.01184	2.50
1955	35	0.01352	2.53	0.01266	2.50
1955	40	0.01619	2.54	0.01312	2.50
1955	45	0.01922	2.55	0.01414	2.54
1955	50	0.02483	2.56	0.01871	2.59
1955	55	0.03334	2.58	0.02584	2.62
1955	60	0.04969	2.56	0.04265	2.61
1955	65	0.07372	2.52	0.06676	2.56
1955	70	0.11593	2.45	0.10894	2.47
1955	75	0.18173	2.30	0.17353	2.33
1955	80	0.27796	2.09	0.27009	2.10
1955	85	0.40117	1.81	0.38531	1.84
1955	90	0.56855	1.42	0.53290	1.49
1955	95	0.65812	1.36	0.62832	1.42
1955	100	0.77261	1.29	0.74404	1.34
1960	0	0.21229	0.33	0.17709	0.35
1960	1	0.03879	1.35	0.03796	1.36
1960	5	0.01084	2.50	0.01020	2.50
1960	10	0.00575	2.50	0.00536	2.50
1960	15	0.00829	2.61	0.00766	2.61
1960	20	0.01048	2.54	0.00961	2.54
1960	25	0.01101	2.49	0.01045	2.50
1960	30	0.01112	2.50	0.01085	2.50
1960	35	0.01238	2.53	0.01163	2.50
1960	40	0.01488	2.54	0.01213	2.50
1960	45	0.01778	2.55	0.01314	2.55
1960	50	0.02310	2.57	0.01742	2.59
1960	55	0.03115	2.58	0.02408	2.62
1960	60	0.04645	2.57	0.03968	2.62
1960	65	0.06898	2.53	0.06223	2.57
1960	70	0.10869	2.46	0.10179	2.49
1960	75	0.17100	2.33	0.16260	2.35
1960	80	0.26293	2.12	0.25449	2.14
1960	85	0.38334	1.85	0.36642	1.88
1960	90	0.54188	1.48	0.50648	1.55
1960	95	0.63572	1.40	0.60475	1.47
1960	100	0.75330	1.33	0.72305	1.38
1965	0	0.19362	0.33	0.16237	0.35
1965	1	0.03603	1.35	0.03539	1.36
1965	5	0.01001	2.50	0.00942	2.50
1965	10	0.00533	2.50	0.00497	2.50
1965	15	0.00771	2.61	0.00712	2.61
1965	20	0.00971	2.54	0.00895	2.55
1965	25	0.01019	2.49	0.00974	2.51
1965	30	0.01035	2.50	0.01012	2.50
1965	35	0.01154	2.54	0.01087	2.50
1965	40	0.01393	2.55	0.01139	2.50
1965	45	0.01672	2.56	0.01239	2.55
1965	50	0.02183	2.57	0.01647	2.59
1965	55	0.02955	2.58	0.02279	2.62
1965	60	0.04409	2.57	0.03750	2.62
1965	65	0.06555	2.54	0.05892	2.57
1965	70	0.10349	2.47	0.09665	2.50
1965	75	0.16339	2.35	0.15488	2.37
1965	80	0.25233	2.14	0.24361	2.16
1965	85	0.37069	1.88	0.35317	1.91
1965	90	0.52366	1.52	0.48900	1.59
1965	95	0.62011	1.43	0.58889	1.50
1965	100	0.73976	1.35	0.70897	1.41
1970	0	0.17506	0.33	0.15059	0.35
1970	1	0.03296	1.35	0.03174	1.36
1970	5	0.00913	2.50	0.00859	2.50
1970	10	0.00488	2.50	0.00456	2.50
1970	15	0.00709	2.61	0.00656	2.61
1970	20	0.00891	2.54	0.00824	2.55
1970	25	0.00932	2.49	0.00899	2.51
1970	30	0.00953	2.51	0.00933	2.50
1970	35	0.01066	2.54	0.01007	2.51
1970	40	0.01293	2.55	0.01061	2.51
1970	45	0.01561	2.56	0.01160	2.55
1970	50	0.02050	2.58	0.01545	2.60
1970	55	0.02788	2.59	0.02142	2.63
1970	60	0.04163	2.58	0.03520	2.62
1970	65	0.06200	2.55	0.05544	2.58
1970	70	0.09815	2.49	0.09127	2.51
1970	75	0.15566	2.36	0.14691	2.39
1970	80	0.24168	2.17	0.23243	2.19
1970	85	0.35792	1.91	0.33954	1.94
