Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.32014	0.33	0.27806	0.35
1950	1	0.02970	1.35	0.03660	1.36
1950	5	0.01085	2.50	0.00662	2.50
1950	10	0.00467	2.50	0.00698	2.50
1950	15	0.00643	2.60	0.00981	2.54
1950	20	0.00815	2.53	0.00911	2.48
1950	25	0.00798	2.50	0.00986	2.51
1950	30	0.00869	2.52	0.01041	2.51
1950	35	0.00979	2.54	0.01125	2.52
1950	40	0.01150	2.55	0.01253	2.53
1950	45	0.01414	2.57	0.01447	2.54
1950	50	0.01822	2.57	0.01740	2.55
1950	55	0.02400	2.58	0.02224	2.54
1950	60	0.03323	2.58	0.02585	2.56
1950	65	0.04848	2.57	0.03750	2.60
1950	70	0.07659	2.52	0.05936	2.55
1950	75	0.11681	2.43	0.08730	2.48
1950	80	0.17694	2.30	0.12690	2.38
1950	85	0.25649	2.11	0.17746	2.26
1950	90	0.34803	1.90	0.24154	2.12
1950	95	0.46808	1.62	0.32528	1.95
1950	100	0.54925	1.82	0.43556	2.30
1955	0	0.25050	0.33	0.22055	0.35
1955	1	0.02260	1.35	0.02790	1.36
1955	5	0.00833	2.50	0.00549	2.50
1955	10	0.00379	2.50	0.00543	2.50
1955	15	0.00524	2.60	0.00781	2.55
1955	20	0.00651	2.54	0.00755	2.49
1955	25	0.00666	2.51	0.00808	2.51
1955	30	0.00731	2.53	0.00863	2.52
1955	35	0.00831	2.55	0.00947	2.53
1955	40	0.00987	2.56	0.01076	2.54
1955	45	0.01231	2.58	0.01272	2.55
1955	50	0.01611	2.59	0.01571	2.57
1955	55	0.02206	2.59	0.02057	2.55
1955	60	0.03038	2.59	0.02472	2.57
1955	65	0.04500	2.58	0.03655	2.60
1955	70	0.07119	2.54	0.05847	2.56
1955	75	0.10946	2.45	0.08767	2.48
1955	80	0.16637	2.32	0.12889	2.38
1955	85	0.24309	2.14	0.18222	2.26
1955	90	0.33152	1.94	0.24922	2.11
1955	95	0.44561	1.68	0.33650	1.92
1955	100	0.56014	1.79	0.45138	2.22
1960	0	0.20443	0.33	0.18232	0.35
1960	1	0.01734	1.35	0.02150	1.36
1960	5	0.00638	2.50	0.00455	2.50
1960	10	0.00306	2.50	0.00422	2.50
1960	15	0.00426	2.60	0.00621	2.57
1960	20	0.00518	2.54	0.00625	2.50
1960	25	0.00548	2.52	0.00668	2.51
1960	30	0.00610	2.54	0.00718	2.52
1960	35	0.00707	2.56	0.00795	2.53
1960	40	0.00858	2.57	0.00914	2.55
1960	45	0.01093	2.59	0.01100	2.56
1960	50	0.01457	2.60	0.01390	2.58
1960	55	0.02038	2.59	0.01884	2.57
1960	60	0.02791	2.59	0.02345	2.58
1960	65	0.04203	2.59	0.03527	2.61
1960	70	0.06680	2.55	0.05704	2.57
1960	75	0.10374	2.46	0.08707	2.49
1960	80	0.15850	2.34	0.12938	2.39
1960	85	0.23376	2.16	0.18473	2.26
1960	90	0.32050	1.96	0.25398	2.10
1960	95	0.43074	1.72	0.34390	1.91
1960	100	0.56321	1.78	0.46099	2.17
1965	0	0.17521	0.33	0.15753	0.35
1965	1	0.01410	1.35	0.01758	1.36
1965	5	0.00487	2.50	0.00377	2.50
1965	10	0.00247	2.50	0.00328	2.50
