Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.18730	0.33	0.16675	0.35
1950	1	0.03567	1.35	0.03461	1.36
1950	5	0.00585	2.50	0.00565	2.50
1950	10	0.00375	2.50	0.00302	2.50
1950	15	0.00467	2.63	0.00429	2.64
1950	20	0.00716	2.57	0.00625	2.59
1950	25	0.00711	2.50	0.00687	2.51
1950	30	0.00758	2.52	0.00719	2.51
1950	35	0.00846	2.55	0.00779	2.52
1950	40	0.01048	2.57	0.00841	2.52
1950	45	0.01290	2.58	0.00942	2.57
1950	50	0.01725	2.59	0.01266	2.60
1950	55	0.02383	2.60	0.01768	2.64
1950	60	0.03566	2.59	0.02892	2.64
1950	65	0.05349	2.57	0.04617	2.61
1950	70	0.08555	2.52	0.07734	2.55
1950	75	0.13809	2.40	0.12700	2.43
1950	80	0.20947	2.22	0.19862	2.25
1950	85	0.29312	2.02	0.28254	2.04
1950	90	0.38458	1.80	0.37482	1.82
1950	95	0.47829	1.61	0.46883	1.63
1950	100	0.57143	1.75	0.50000	2.00
1955	0	0.17370	0.33	0.15458	0.35
1955	1	0.03106	1.35	0.03000	1.36
1955	5	0.00513	2.50	0.00504	2.50
1955	10	0.00328	2.50	0.00264	2.50
1955	15	0.00433	2.63	0.00398	2.65
1955	20	0.00640	2.57	0.00552	2.58
1955	25	0.00637	2.50	0.00609	2.52
1955	30	0.00688	2.53	0.00641	2.52
1955	35	0.00772	2.55	0.00699	2.52
1955	40	0.00965	2.57	0.00765	2.53
1955	45	0.01201	2.58	0.00867	2.57
1955	50	0.01623	2.60	0.01173	2.61
1955	55	0.02258	2.61	0.01643	2.64
1955	60	0.03384	2.60	0.02689	2.65
1955	65	0.05090	2.58	0.04317	2.62
1955	70	0.08178	2.53	0.07286	2.56
1955	75	0.13288	2.41	0.12070	2.45
1955	80	0.20424	2.24	0.19172	2.27
1955	85	0.28783	2.03	0.27515	2.06
1955	90	0.37946	1.81	0.36733	1.84
1955	95	0.47305	1.62	0.46092	1.65
1955	100	0.50000	2.00	0.56667	1.76
1960	0	0.15555	0.33	0.13579	0.35
1960	1	0.02484	1.35	0.02405	1.36
1960	5	0.00435	2.50	0.00418	2.50
1960	10	0.00286	2.50	0.00231	2.50
1960	15	0.00375	2.63	0.00345	2.64
1960	20	0.00556	2.57	0.00471	2.58
1960	25	0.00555	2.51	0.00523	2.52
1960	30	0.00609	2.53	0.00554	2.52
1960	35	0.00687	2.56	0.00609	2.53
1960	40	0.00870	2.58	0.00679	2.54
1960	45	0.01098	2.59	0.00781	2.58
1960	50	0.01504	2.60	0.01067	2.61
1960	55	0.02111	2.61	0.01499	2.64
1960	60	0.03171	2.60	0.02454	2.65
1960	65	0.04788	2.59	0.03970	2.63
1960	70	0.07738	2.54	0.06770	2.58
1960	75	0.12680	2.43	0.11345	2.47
1960	80	0.19766	2.25	0.18311	2.30
1960	85	0.28081	2.05	0.26549	2.09
1960	90	0.37232	1.83	0.35710	1.87
1960	95	0.46545	1.64	0.44986	1.67
1960	100	0.54167	1.85	0.55814	1.79
1965	0	0.14021	0.33	0.12253	0.35
1965	1	0.02087	1.35	0.02028	1.36
1965	5	0.00374	2.50	0.00341	2.50
1965	10	0.00243	2.50	0.00196	2.50
1965	15	0.00324	2.64	0.00298	2.65
1965	20	0.00490	2.58	0.00408	2.58
1965	25	0.00491	2.51	0.00456	2.53
1965	30	0.00547	2.54	0.00486	2.52
1965	35	0.00620	2.56	0.00538	2.54
1965	40	0.00794	2.59	0.00610	2.55
1965	45	0.01016	2.60	0.00712	2.58
1965	50	0.01408	2.61	0.00981	2.62
1965	55	0.01991	2.62	0.01383	2.65
1965	60	0.02998	2.61	0.02265	2.66
1965	65	0.04543	2.59	0.03692	2.64
1965	70	0.07382	2.55	0.06356	2.59
1965	75	0.12190	2.45	0.10765	2.49
1965	80	0.19191	2.27	0.17570	2.32
1965	85	0.27437	2.06	0.25684	2.11
1965	90	0.36547	1.85	0.34762	1.89
1965	95	0.45795	1.65	0.43947	1.70
1965	100	0.56667	1.76	0.55932	1.79
1970	0	0.11931	0.33	0.10341	0.34
1970	1	0.01566	1.35	0.01537	1.37
1970	5	0.00287	2.50	0.00262	2.50
1970	10	0.00199	2.50	0.00160	2.50
1970	15	0.00260	2.63	0.00239	2.63
1970	20	0.00388	2.58	0.00312	2.57
1970	25	0.00391	2.52	0.00353	2.53
1970	30	0.00449	2.55	0.00379	2.53
1970	35	0.00514	2.57	0.00427	2.55
1970	40	0.00673	2.60	0.00501	2.56
1970	45	0.00882	2.61	0.00601	2.60
1970	50	0.01275	2.62	0.00842	2.63
1970	55	0.01795	2.62	0.01196	2.65
1970	60	0.02715	2.62	0.01961	2.67
1970	65	0.04141	2.61	0.03242	2.65
1970	70	0.06800	2.57	0.05688	2.61
1970	75	0.11392	2.47	0.09832	2.51
1970	80	0.18175	2.30	0.16283	2.35
1970	85	0.26248	2.09	0.24117	2.14
1970	90	0.35234	1.88	0.32993	1.93
1970	95	0.44336	1.69	0.41995	1.74
1970	100	0.56250	1.78	0.56311	1.78
1975	0	0.10820	0.33	0.09451	0.32
1975	1	0.01283	1.35	0.01228	1.38
1975	5	0.00224	2.50	0.00192	2.50
1975	10	0.00156	2.50	0.00125	2.50
1975	15	0.00203	2.65	0.00186	2.64
1975	20	0.00321	2.59	0.00247	2.58
1975	25	0.00324	2.53	0.00282	2.54
1975	30	0.00384	2.56	0.00307	2.54
1975	35	0.00443	2.58	0.00351	2.56
1975	40	0.00591	2.61	0.00425	2.57
1975	45	0.00791	2.62	0.00523	2.61
1975	50	0.01164	2.63	0.00743	2.63
1975	55	0.01659	2.63	0.01063	2.66
1975	60	0.02518	2.62	0.01746	2.67
1975	65	0.03863	2.61	0.02925	2.67
1975	70	0.06398	2.58	0.05218	2.63
1975	75	0.10840	2.48	0.09175	2.54
1975	80	0.17598	2.31	0.15538	2.37
1975	85	0.25690	2.11	0.23387	2.17
1975	90	0.34744	1.89	0.32357	1.95
1975	95	0.43907	1.70	0.41466	1.76
1975	100	0.56667	1.76	0.55882	1.79
1980	0	0.09206	0.29	0.07798	0.27
1980	1	0.01019	1.39	0.00965	1.40
1980	5	0.00186	2.50	0.00160	2.50
1980	10	0.00121	2.50	0.00098	2.50
1980	15	0.00182	2.67	0.00138	2.63
1980	20	0.00276	2.59	0.00187	2.60
1980	25	0.00293	2.54	0.00223	2.56
1980	30	0.00343	2.56	0.00256	2.56
1980	35	0.00410	2.59	0.00310	2.58
1980	40	0.00545	2.61	0.00387	2.59
1980	45	0.00723	2.63	0.00495	2.61
1980	50	0.01071	2.64	0.00701	2.64
1980	55	0.01545	2.63	0.01023	2.66
1980	60	0.02349	2.62	0.01655	2.67
1980	65	0.03521	2.62	0.02762	2.66
1980	70	0.05827	2.58	0.04724	2.62
1980	75	0.09446	2.51	0.07763	2.56
1980	80	0.15677	2.37	0.13663	2.43
1980	85	0.24172	2.16	0.21697	2.22
1980	90	0.34064	1.91	0.31223	1.98
1980	95	0.42750	1.73	0.39886	1.80
1980	100	0.56383	1.77	0.53509	1.87
1985	0	0.07692	0.25	0.06309	0.23
1985	1	0.00772	1.43	0.00722	1.43
1985	5	0.00162	2.50	0.00133	2.50
1985	10	0.00093	2.50	0.00075	2.50
1985	15	0.00156	2.69	0.00102	2.63
1985	20	0.00237	2.61	0.00140	2.61
1985	25	0.00265	2.55	0.00175	2.58
1985	30	0.00306	2.57	0.00213	2.59
1985	35	0.00380	2.60	0.00273	2.60
1985	40	0.00503	2.61	0.00352	2.60
1985	45	0.00666	2.63	0.00468	2.62
1985	50	0.00981	2.64	0.00660	2.63
1985	55	0.01434	2.63	0.00942	2.65
1985	60	0.02118	2.62	0.01503	2.66
1985	65	0.03192	2.61	0.02379	2.66
1985	70	0.05049	2.59	0.04021	2.63
1985	75	0.08242	2.54	0.06566	2.59
1985	80	0.13703	2.42	0.11784	2.48
1985	85	0.21892	2.22	0.19407	2.29
1985	90	0.32633	1.95	0.29512	2.03
1985	95	0.41781	1.76	0.39126	1.83
1985	100	0.56129	1.78	0.53659	1.86
1990	0	0.05653	0.20	0.04781	0.19
1990	1	0.00492	1.49	0.00498	1.45
1990	5	0.00146	2.50	0.00113	2.50
1990	10	0.00083	2.50	0.00067	2.50
1990	15	0.00136	2.69	0.00089	2.60
1990	20	0.00211	2.63	0.00109	2.61
1990	25	0.00259	2.56	0.00150	2.60
1990	30	0.00288	2.56	0.00178	2.59
1990	35	0.00350	2.59	0.00230	2.61
1990	40	0.00464	2.61	0.00309	2.62
1990	45	0.00623	2.63	0.00422	2.63
1990	50	0.00908	2.63	0.00589	2.63
1990	55	0.01290	2.62	0.00848	2.65
1990	60	0.01862	2.62	0.01323	2.65
1990	65	0.02788	2.62	0.01990	2.66
1990	70	0.04461	2.62	0.03464	2.66
1990	75	0.07613	2.56	0.06103	2.61
1990	80	0.13014	2.44	0.10961	2.51
1990	85	0.21481	2.24	0.18918	2.31
1990	90	0.31261	1.98	0.28611	2.05
1990	95	0.41252	1.78	0.38751	1.84
1990	100	0.55438	1.80	0.53577	1.87
1995	0	0.04063	0.16	0.03387	0.15
1995	1	0.00307	1.53	0.00293	1.47
1995	5	0.00121	2.50	0.00096	2.50
1995	10	0.00072	2.50	0.00058	2.50
1995	15	0.00122	2.70	0.00080	2.62
1995	20	0.00189	2.65	0.00102	2.61
1995	25	0.00250	2.57	0.00138	2.60
1995	30	0.00274	2.55	0.00166	2.59
1995	35	0.00330	2.59	0.00214	2.61
1995	40	0.00436	2.61	0.00285	2.62
1995	45	0.00583	2.63	0.00390	2.63
1995	50	0.00850	2.63	0.00542	2.63
1995	55	0.01206	2.63	0.00782	2.65
1995	60	0.01747	2.63	0.01223	2.65
1995	65	0.02618	2.63	0.01842	2.66
1995	70	0.04171	2.62	0.03147	2.67
1995	75	0.07154	2.57	0.05603	2.62
1995	80	0.12159	2.46	0.10035	2.53
1995	85	0.20067	2.27	0.17396	2.34
1995	90	0.29384	2.03	0.26599	2.10
1995	95	0.39124	1.82	0.36504	1.89
1995	100	0.53341	1.87	0.50955	1.96
2000	0	0.02802	0.12	0.02282	0.12
2000	1	0.00195	1.57	0.00175	1.49
2000	5	0.00102	2.50	0.00077	2.50
2000	10	0.00062	2.50	0.00050	2.50
2000	15	0.00120	2.72	0.00070	2.64
2000	20	0.00184	2.64	0.00098	2.62
2000	25	0.00243	2.57	0.00126	2.59
2000	30	0.00260	2.55	0.00154	2.59
2000	35	0.00310	2.59	0.00198	2.61
2000	40	0.00408	2.61	0.00261	2.62
2000	45	0.00545	2.63	0.00358	2.63
