Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.17580	0.33	0.15369	0.35
1950	1	0.03743	1.35	0.03747	1.36
1950	5	0.01019	2.50	0.01092	2.50
1950	10	0.00546	2.50	0.00632	2.50
1950	15	0.00659	2.60	0.00668	2.52
1950	20	0.00927	2.57	0.00751	2.54
1950	25	0.01005	2.52	0.00858	2.53
1950	30	0.01106	2.52	0.00966	2.53
1950	35	0.01265	2.53	0.01080	2.52
1950	40	0.01480	2.53	0.01200	2.51
1950	45	0.01693	2.54	0.01285	2.53
1950	50	0.02079	2.54	0.01609	2.57
1950	55	0.02548	2.56	0.02080	2.59
1950	60	0.03495	2.57	0.03044	2.60
1950	65	0.04991	2.56	0.04579	2.58
1950	70	0.07576	2.52	0.07143	2.53
1950	75	0.11640	2.44	0.11004	2.46
1950	80	0.18348	2.31	0.17540	2.32
1950	85	0.28706	2.08	0.27213	2.11
1950	90	0.43029	1.74	0.40840	1.79
1950	95	0.56184	1.42	0.53211	1.49
1950	100	0.67595	1.48	0.64670	1.55
1955	0	0.16762	0.33	0.14653	0.35
1955	1	0.03320	1.35	0.03325	1.36
1955	5	0.00894	2.50	0.00947	2.50
1955	10	0.00486	2.50	0.00553	2.50
1955	15	0.00602	2.60	0.00598	2.53
1955	20	0.00851	2.57	0.00685	2.54
1955	25	0.00925	2.52	0.00790	2.54
1955	30	0.01023	2.53	0.00894	2.53
1955	35	0.01177	2.54	0.01007	2.53
1955	40	0.01386	2.54	0.01130	2.52
1955	45	0.01601	2.54	0.01221	2.54
1955	50	0.01992	2.55	0.01541	2.57
1955	55	0.02463	2.56	0.02002	2.59
1955	60	0.03412	2.57	0.02947	2.61
1955	65	0.04915	2.56	0.04472	2.59
1955	70	0.07507	2.52	0.07037	2.54
1955	75	0.11617	2.45	0.10944	2.46
1955	80	0.18427	2.31	0.17624	2.33
1955	85	0.29018	2.08	0.27648	2.11
1955	90	0.43896	1.73	0.42019	1.77
1955	95	0.57756	1.39	0.55319	1.45
1955	100	0.69990	1.43	0.67816	1.47
1960	0	0.16312	0.33	0.14100	0.35
1960	1	0.03094	1.35	0.03037	1.36
1960	5	0.00823	2.50	0.00852	2.50
1960	10	0.00450	2.50	0.00502	2.50
1960	15	0.00567	2.61	0.00551	2.54
1960	20	0.00805	2.57	0.00640	2.55
1960	25	0.00874	2.52	0.00743	2.54
1960	30	0.00968	2.53	0.00844	2.53
1960	35	0.01117	2.54	0.00957	2.53
1960	40	0.01320	2.54	0.01081	2.52
1960	45	0.01535	2.55	0.01176	2.54
1960	50	0.01927	2.55	0.01492	2.57
1960	55	0.02395	2.56	0.01945	2.60
1960	60	0.03341	2.58	0.02875	2.61
1960	65	0.04840	2.57	0.04391	2.59
1960	70	0.07426	2.53	0.06952	2.54
1960	75	0.11548	2.45	0.10887	2.47
1960	80	0.18392	2.31	0.17662	2.33
1960	85	0.29087	2.08	0.27929	2.10
1960	90	0.44267	1.72	0.42833	1.76
1960	95	0.58540	1.38	0.56813	1.42
1960	100	0.71273	1.40	0.70082	1.43
1965	0	0.15433	0.33	0.13534	0.35
1965	1	0.02740	1.35	0.02766	1.36
1965	5	0.00729	2.50	0.00764	2.50
1965	10	0.00404	2.50	0.00453	2.50
1965	15	0.00522	2.62	0.00505	2.55
1965	20	0.00744	2.58	0.00593	2.55
