Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.20251	0.33	0.17179	0.35
1950	1	0.03803	1.56	0.03671	1.57
1950	5	0.01208	2.09	0.01199	2.11
1950	10	0.00610	2.37	0.00628	2.36
1950	15	0.00688	2.58	0.00665	2.53
1950	20	0.00974	2.56	0.00766	2.55
1950	25	0.01033	2.50	0.00896	2.55
1950	30	0.01104	2.52	0.01041	2.54
1950	35	0.01253	2.54	0.01192	2.52
1950	40	0.01514	2.55	0.01312	2.51
1950	45	0.01818	2.55	0.01426	2.53
1950	50	0.02279	2.56	0.01757	2.57
1950	55	0.02977	2.56	0.02387	2.59
1950	60	0.04134	2.56	0.03484	2.59
1950	65	0.05965	2.54	0.05279	2.57
1950	70	0.09203	2.48	0.08189	2.51
1950	75	0.13907	2.38	0.12312	2.41
1950	80	0.21070	2.23	0.18613	2.27
1950	85	0.31011	2.00	0.26771	2.08
1950	90	0.43064	1.73	0.36481	1.86
1950	95	0.57095	1.41	0.47563	1.61
1950	100	0.69691	1.43	0.59578	1.68
1955	0	0.19004	0.33	0.16151	0.35
1955	1	0.03547	1.56	0.03428	1.57
1955	5	0.01133	2.10	0.01124	2.11
1955	10	0.00574	2.37	0.00591	2.37
1955	15	0.00653	2.59	0.00628	2.53
1955	20	0.00925	2.57	0.00725	2.55
1955	25	0.00981	2.51	0.00848	2.55
1955	30	0.01048	2.52	0.00984	2.54
1955	35	0.01188	2.54	0.01126	2.53
1955	40	0.01436	2.55	0.01245	2.51
1955	45	0.01725	2.55	0.01356	2.53
1955	50	0.02174	2.56	0.01678	2.57
1955	55	0.02840	2.57	0.02278	2.60
1955	60	0.03960	2.56	0.03331	2.60
1955	65	0.05728	2.55	0.05058	2.57
1955	70	0.08835	2.49	0.07859	2.51
1955	75	0.13374	2.39	0.11854	2.43
1955	80	0.20307	2.24	0.17980	2.29
1955	85	0.29998	2.03	0.25967	2.10
1955	90	0.41850	1.76	0.35552	1.88
1955	95	0.55795	1.44	0.46603	1.63
1955	100	0.68522	1.46	0.58682	1.70
1960	0	0.18141	0.33	0.15440	0.35
1960	1	0.03370	1.56	0.03260	1.57
1960	5	0.01081	2.10	0.01071	2.11
1960	10	0.00548	2.38	0.00565	2.37
1960	15	0.00629	2.59	0.00602	2.53
1960	20	0.00891	2.57	0.00697	2.55
1960	25	0.00944	2.51	0.00815	2.55
1960	30	0.01009	2.52	0.00944	2.54
1960	35	0.01143	2.54	0.01080	2.53
1960	40	0.01381	2.55	0.01198	2.51
1960	45	0.01661	2.55	0.01307	2.54
1960	50	0.02100	2.56	0.01622	2.57
1960	55	0.02745	2.57	0.02201	2.60
1960	60	0.03837	2.57	0.03224	2.60
1960	65	0.05561	2.55	0.04904	2.58
1960	70	0.08578	2.50	0.07631	2.52
1960	75	0.13000	2.40	0.11538	2.43
1960	80	0.19773	2.26	0.17545	2.30
1960	85	0.29286	2.04	0.25415	2.11
1960	90	0.40995	1.78	0.34916	1.90
1960	95	0.54877	1.46	0.45947	1.65
1960	100	0.67692	1.48	0.58072	1.72
