Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.25567	0.33	0.20964	0.35
1950	1	0.03419	1.35	0.03263	1.36
1950	5	0.00466	2.50	0.00420	2.50
1950	10	0.00321	2.50	0.00347	2.50
1950	15	0.00464	2.64	0.00458	2.60
1950	20	0.00665	2.58	0.00585	2.56
1950	25	0.00728	2.53	0.00659	2.54
1950	30	0.00833	2.55	0.00749	2.54
1950	35	0.00999	2.56	0.00841	2.53
1950	40	0.01243	2.56	0.00947	2.54
1950	45	0.01537	2.57	0.01103	2.57
1950	50	0.02055	2.58	0.01479	2.59
1950	55	0.02743	2.58	0.01993	2.61
1950	60	0.03931	2.57	0.02995	2.60
1950	65	0.05598	2.54	0.04376	2.58
1950	70	0.08240	2.49	0.06814	2.54
1950	75	0.12448	2.41	0.10550	2.46
1950	80	0.18449	2.28	0.16207	2.33
1950	85	0.26933	2.09	0.23672	2.16
1950	90	0.37614	1.85	0.33186	1.94
1950	95	0.50403	1.56	0.44366	1.69
1950	100	0.62506	1.60	0.57613	1.74
1955	0	0.22478	0.33	0.18564	0.35
1955	1	0.02997	1.35	0.02867	1.36
1955	5	0.00425	2.50	0.00376	2.50
1955	10	0.00293	2.50	0.00306	2.50
1955	15	0.00433	2.65	0.00418	2.61
1955	20	0.00621	2.58	0.00541	2.57
1955	25	0.00679	2.53	0.00612	2.54
1955	30	0.00777	2.55	0.00693	2.54
1955	35	0.00933	2.56	0.00779	2.53
1955	40	0.01162	2.57	0.00880	2.54
1955	45	0.01450	2.58	0.01037	2.57
1955	50	0.01950	2.58	0.01397	2.60
1955	55	0.02627	2.58	0.01895	2.61
1955	60	0.03785	2.57	0.02854	2.61
1955	65	0.05421	2.54	0.04210	2.59
1955	70	0.08021	2.50	0.06594	2.55
1955	75	0.12156	2.42	0.10269	2.47
1955	80	0.18105	2.29	0.15872	2.34
1955	85	0.26554	2.10	0.23311	2.17
1955	90	0.37235	1.86	0.32837	1.95
1955	95	0.49991	1.56	0.44045	1.70
1955	100	0.61689	1.62	0.58925	1.70
1960	0	0.19593	0.33	0.16292	0.35
1960	1	0.02599	1.35	0.02492	1.36
1960	5	0.00383	2.50	0.00334	2.50
1960	10	0.00267	2.50	0.00272	2.50
1960	15	0.00398	2.65	0.00376	2.61
