Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.15926	0.33	0.13552	0.35
1950	1	0.03080	1.35	0.02732	1.36
1950	5	0.00868	2.50	0.00740	2.50
1950	10	0.00479	2.50	0.00437	2.50
1950	15	0.00598	2.61	0.00486	2.54
1950	20	0.00850	2.58	0.00563	2.55
1950	25	0.00936	2.52	0.00646	2.54
1950	30	0.01047	2.53	0.00732	2.54
1950	35	0.01217	2.54	0.00831	2.54
1950	40	0.01435	2.53	0.00955	2.53
1950	45	0.01660	2.54	0.01053	2.55
1950	50	0.02061	2.55	0.01362	2.58
1950	55	0.02546	2.56	0.01799	2.61
1950	60	0.03518	2.57	0.02703	2.62
1950	65	0.05058	2.56	0.04198	2.60
1950	70	0.07707	2.52	0.06741	2.55
1950	75	0.11904	2.44	0.10699	2.48
1950	80	0.18871	2.30	0.17560	2.34
1950	85	0.29707	2.06	0.28085	2.11
1950	90	0.44887	1.71	0.43770	1.74
1950	95	0.59015	1.37	0.58887	1.38
1950	100	0.71506	1.40	0.73554	1.36
1955	0	0.14222	0.33	0.12141	0.35
1955	1	0.02480	1.35	0.02214	1.36
1955	5	0.00726	2.50	0.00602	2.50
1955	10	0.00412	2.50	0.00363	2.50
1955	15	0.00534	2.62	0.00420	2.56
1955	20	0.00766	2.58	0.00508	2.56
1955	25	0.00855	2.53	0.00603	2.55
1955	30	0.00970	2.54	0.00693	2.54
1955	35	0.01144	2.55	0.00800	2.54
1955	40	0.01361	2.54	0.00924	2.53
1955	45	0.01594	2.55	0.01027	2.55
1955	50	0.02007	2.55	0.01328	2.58
1955	55	0.02503	2.56	0.01750	2.61
1955	60	0.03493	2.57	0.02624	2.62
1955	65	0.05065	2.56	0.04091	2.61
1955	70	0.07762	2.52	0.06608	2.56
1955	75	0.12074	2.44	0.10582	2.48
1955	80	0.19271	2.29	0.17580	2.34
1955	85	0.30564	2.05	0.28524	2.10
1955	90	0.46642	1.68	0.45050	1.72
1955	95	0.61845	1.31	0.61215	1.34
1955	100	0.75567	1.32	0.77049	1.30
1960	0	0.13109	0.33	0.11195	0.35
1960	1	0.02123	1.35	0.01909	1.36
1960	5	0.00634	2.50	0.00521	2.50
1960	10	0.00366	2.50	0.00318	2.50
1960	15	0.00487	2.63	0.00377	2.57
1960	20	0.00703	2.59	0.00468	2.57
1960	25	0.00788	2.54	0.00564	2.56
1960	30	0.00901	2.55	0.00654	2.55
1960	35	0.01071	2.55	0.00761	2.55
1960	40	0.01282	2.55	0.00885	2.54
1960	45	0.01516	2.55	0.00990	2.56
1960	50	0.01933	2.56	0.01284	2.59
1960	55	0.02430	2.57	0.01694	2.61
1960	60	0.03422	2.58	0.02544	2.63
1960	65	0.05002	2.56	0.03987	2.61
1960	70	0.07710	2.52	0.06478	2.57
1960	75	0.12071	2.44	0.10451	2.49
1960	80	0.19380	2.29	0.17515	2.35
1960	85	0.30929	2.04	0.28703	2.10
1960	90	0.47606	1.66	0.45797	1.71
1960	95	0.63581	1.28	0.62731	1.31
1960	100	0.78230	1.28	0.79468	1.26
1965	0	0.11937	0.33	0.10197	0.34
1965	1	0.01786	1.35	0.01618	1.37
1965	5	0.00545	2.50	0.00447	2.50
1965	10	0.00320	2.50	0.00277	2.50
1965	15	0.00438	2.63	0.00335	2.58
1965	20	0.00637	2.59	0.00425	2.58
1965	25	0.00716	2.54	0.00520	2.56
1965	30	0.00824	2.55	0.00608	2.55
1965	35	0.00986	2.56	0.00714	2.55
1965	40	0.01189	2.55	0.00836	2.54
1965	45	0.01422	2.56	0.00942	2.56
1965	50	0.01838	2.56	0.01229	2.59
1965	55	0.02333	2.57	0.01625	2.61
1965	60	0.03320	2.59	0.02449	2.63
1965	65	0.04897	2.57	0.03863	2.62
1965	70	0.07598	2.53	0.06321	2.57
1965	75	0.11988	2.45	0.10283	2.50
