Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.15927	0.33	0.13603	0.35
1950	1	0.02915	1.56	0.02825	1.57
1950	5	0.00945	2.11	0.00934	2.12
1950	10	0.00483	2.38	0.00496	2.37
1950	15	0.00567	2.59	0.00535	2.54
1950	20	0.00803	2.57	0.00623	2.55
1950	25	0.00850	2.51	0.00728	2.55
1950	30	0.00908	2.52	0.00840	2.54
1950	35	0.01026	2.54	0.00961	2.53
1950	40	0.01240	2.55	0.01075	2.52
1950	45	0.01492	2.56	0.01180	2.54
1950	50	0.01908	2.57	0.01479	2.58
1950	55	0.02494	2.58	0.02003	2.60
1950	60	0.03519	2.58	0.02947	2.61
1950	65	0.05132	2.56	0.04507	2.59
1950	70	0.07921	2.51	0.07042	2.53
1950	75	0.12062	2.42	0.10723	2.45
1950	80	0.18439	2.29	0.16422	2.33
1950	85	0.27519	2.08	0.23988	2.15
1950	90	0.38876	1.82	0.33265	1.93
1950	95	0.52601	1.51	0.44237	1.69
1950	100	0.65634	1.52	0.56483	1.77
1955	0	0.14219	0.33	0.12181	0.35
1955	1	0.02542	1.56	0.02469	1.57
1955	5	0.00835	2.11	0.00821	2.13
1955	10	0.00433	2.39	0.00443	2.38
1955	15	0.00519	2.60	0.00483	2.54
1955	20	0.00737	2.57	0.00567	2.55
1955	25	0.00779	2.51	0.00662	2.55
1955	30	0.00832	2.52	0.00761	2.54
1955	35	0.00937	2.54	0.00870	2.54
1955	40	0.01132	2.55	0.00983	2.53
1955	45	0.01363	2.56	0.01083	2.55
1955	50	0.01762	2.57	0.01370	2.58
1955	55	0.02301	2.58	0.01851	2.61
1955	60	0.03274	2.59	0.02736	2.61
1955	65	0.04810	2.57	0.04211	2.60
1955	70	0.07432	2.52	0.06605	2.55
1955	75	0.11374	2.44	0.10127	2.47
1955	80	0.17469	2.31	0.15610	2.35
1955	85	0.26241	2.11	0.22966	2.17
1955	90	0.37349	1.86	0.32093	1.96
1955	95	0.50962	1.55	0.43031	1.71
1955	100	0.64155	1.56	0.55385	1.81
1960	0	0.12924	0.33	0.11071	0.35
1960	1	0.02214	1.56	0.02164	1.57
1960	5	0.00742	2.12	0.00725	2.13
1960	10	0.00392	2.40	0.00399	2.39
1960	15	0.00482	2.61	0.00442	2.55
1960	20	0.00687	2.57	0.00524	2.56
1960	25	0.00724	2.51	0.00609	2.55
1960	30	0.00773	2.52	0.00700	2.54
1960	35	0.00871	2.55	0.00800	2.54
1960	40	0.01051	2.56	0.00912	2.53
1960	45	0.01272	2.57	0.01009	2.55
1960	50	0.01663	2.58	0.01290	2.59
1960	55	0.02176	2.59	0.01738	2.61
1960	60	0.03118	2.59	0.02582	2.62
1960	65	0.04603	2.58	0.03997	2.60
1960	70	0.07124	2.53	0.06301	2.55
1960	75	0.10951	2.45	0.09728	2.48
1960	80	0.16885	2.32	0.15091	2.36
1960	85	0.25488	2.13	0.22347	2.19
1960	90	0.36466	1.88	0.31420	1.98
1960	95	0.50030	1.57	0.42372	1.73
1960	100	0.63333	1.58	0.54843	1.82
1965	0	0.11764	0.33	0.10131	0.34
1965	1	0.01937	1.56	0.01896	1.56
1965	5	0.00661	2.13	0.00639	2.14
