Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.15276	0.33	0.12501	0.35
1950	1	0.01905	1.35	0.01796	1.36
1950	5	0.00775	2.50	0.00507	2.50
1950	10	0.00491	2.50	0.00288	2.50
1950	15	0.00343	2.49	0.00289	2.60
1950	20	0.00480	2.59	0.00472	2.64
1950	25	0.00542	2.55	0.00587	2.57
1950	30	0.00654	2.58	0.00714	2.56
1950	35	0.00840	2.58	0.00830	2.53
1950	40	0.01044	2.58	0.00917	2.51
1950	45	0.01356	2.58	0.00966	2.53
1950	50	0.01750	2.55	0.01190	2.56
1950	55	0.02079	2.57	0.01467	2.60
1950	60	0.03080	2.59	0.02184	2.59
1950	65	0.04360	2.58	0.02869	2.59
1950	70	0.07059	2.51	0.04505	2.57
1950	75	0.09368	2.44	0.06395	2.53
1950	80	0.13667	2.35	0.10074	2.44
1950	85	0.18166	2.24	0.13297	2.35
1950	90	0.24522	2.11	0.18149	2.25
1950	95	0.32189	1.94	0.24242	2.12
1950	100	0.41871	2.39	0.32981	3.03
1955	0	0.13016	0.33	0.10393	0.34
1955	1	0.01481	1.35	0.01432	1.37
1955	5	0.00727	2.50	0.00485	2.50
1955	10	0.00426	2.50	0.00264	2.50
1955	15	0.00301	2.48	0.00267	2.60
1955	20	0.00400	2.56	0.00430	2.61
1955	25	0.00421	2.56	0.00484	2.57
1955	30	0.00557	2.59	0.00642	2.58
1955	35	0.00700	2.60	0.00775	2.55
1955	40	0.00977	2.60	0.00872	2.52
1955	45	0.01271	2.59	0.00924	2.54
1955	50	0.01710	2.58	0.01181	2.57
1955	55	0.02174	2.58	0.01446	2.60
1955	60	0.03060	2.58	0.02154	2.61
1955	65	0.04360	2.58	0.03034	2.64
1955	70	0.07059	2.51	0.05599	2.56
1955	75	0.09368	2.44	0.06953	2.50
1955	80	0.13667	2.35	0.11340	2.42
1955	85	0.18166	2.24	0.14711	2.31
1955	90	0.24522	2.11	0.20001	2.21
1955	95	0.32189	1.94	0.26563	2.07
1955	100	0.41871	2.39	0.35588	2.81
1960	0	0.10930	0.33	0.08789	0.30
1960	1	0.01150	1.35	0.01131	1.39
1960	5	0.00613	2.50	0.00371	2.50
1960	10	0.00393	2.50	0.00219	2.50
1960	15	0.00285	2.47	0.00250	2.60
