Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.29556	0.33	0.21107	0.35
1950	1	0.02575	1.35	0.02516	1.58
1950	5	0.01418	2.50	0.01207	2.26
1950	10	0.00356	2.50	0.00270	1.84
1950	15	0.00472	2.61	0.00390	2.67
1950	20	0.00631	2.56	0.00578	2.57
1950	25	0.00656	2.50	0.00604	2.49
1950	30	0.00689	2.54	0.00581	2.50
1950	35	0.00862	2.59	0.00642	2.55
1950	40	0.01161	2.60	0.00782	2.58
1950	45	0.01585	2.60	0.01012	2.60
1950	50	0.02170	2.59	0.01399	2.62
1950	55	0.03069	2.58	0.02052	2.62
1950	60	0.04363	2.56	0.03099	2.62
1950	65	0.06218	2.53	0.04975	2.60
1950	70	0.09244	2.47	0.08130	2.53
1950	75	0.13744	2.39	0.12951	2.42
1950	80	0.21145	2.23	0.19925	2.25
1950	85	0.31073	2.00	0.29281	2.04
1950	90	0.43217	1.72	0.40724	1.79
1950	95	0.56563	1.47	0.53300	1.55
1950	100	0.67649	1.48	0.65948	1.52
1955	0	0.26934	0.33	0.19439	0.35
1955	1	0.02479	1.35	0.02406	1.58
1955	5	0.01300	2.50	0.01154	2.26
1955	10	0.00300	2.50	0.00236	1.76
1955	15	0.00393	2.63	0.00294	2.66
1955	20	0.00581	2.58	0.00425	2.58
1955	25	0.00600	2.50	0.00463	2.51
1955	30	0.00631	2.54	0.00471	2.52
1955	35	0.00770	2.58	0.00532	2.56
1955	40	0.00983	2.59	0.00666	2.60
1955	45	0.01306	2.59	0.00887	2.62
1955	50	0.01760	2.60	0.01252	2.63
1955	55	0.02574	2.60	0.01853	2.62
1955	60	0.03756	2.57	0.02708	2.62
1955	65	0.05346	2.55	0.04353	2.62
1955	70	0.08219	2.51	0.07125	2.55
1955	75	0.12619	2.41	0.11371	2.45
1955	80	0.18821	2.27	0.17596	2.31
1955	85	0.27035	2.08	0.26121	2.11
1955	90	0.37108	1.85	0.36841	1.87
1955	95	0.49392	1.67	0.49037	1.63
1955	100	0.65940	1.52	0.61833	1.62
1960	0	0.22903	0.33	0.17573	0.35
1960	1	0.02125	1.35	0.02037	1.58
1960	5	0.01203	2.50	0.01056	2.27
1960	10	0.00303	2.50	0.00220	1.71
1960	15	0.00353	2.58	0.00219	2.60
1960	20	0.00450	2.55	0.00309	2.58
1960	25	0.00478	2.51	0.00352	2.54
1960	30	0.00507	2.54	0.00380	2.54
1960	35	0.00604	2.59	0.00440	2.58
1960	40	0.00845	2.62	0.00567	2.61
1960	45	0.01188	2.60	0.00777	2.63
1960	50	0.01522	2.60	0.01120	2.64
1960	55	0.02258	2.62	0.01673	2.62
1960	60	0.03325	2.58	0.02364	2.62
1960	65	0.04687	2.57	0.03833	2.63
1960	70	0.07411	2.54	0.06228	2.56
1960	75	0.11684	2.44	0.09734	2.48
1960	80	0.17864	2.30	0.14855	2.36
1960	85	0.26220	2.10	0.21940	2.19
1960	90	0.36613	1.86	0.31085	1.99
1960	95	0.48336	1.60	0.41949	1.76
1960	100	0.58742	1.70	0.54266	1.84
1965	0	0.19755	0.33	0.15935	0.35
1965	1	0.01647	1.35	0.01566	1.58
1965	5	0.00927	2.50	0.00886	2.27
1965	10	0.00285	2.50	0.00227	1.82
1965	15	0.00304	2.56	0.00173	2.52
1965	20	0.00397	2.56	0.00249	2.59
1965	25	0.00424	2.52	0.00291	2.55
1965	30	0.00451	2.54	0.00329	2.55
1965	35	0.00528	2.59	0.00385	2.59
1965	40	0.00750	2.63	0.00503	2.62
1965	45	0.01067	2.60	0.00699	2.64
1965	50	0.01331	2.61	0.01019	2.64
1965	55	0.02018	2.63	0.01522	2.62
1965	60	0.03037	2.59	0.02105	2.63
1965	65	0.04293	2.58	0.03418	2.64
1965	70	0.06967	2.56	0.05547	2.58
1965	75	0.11233	2.46	0.08689	2.50
1965	80	0.17544	2.31	0.13319	2.39
1965	85	0.26243	2.11	0.19815	2.24
1965	90	0.37218	1.86	0.28358	2.05
1965	95	0.49691	1.57	0.38745	1.82
1965	100	0.60067	1.66	0.50978	1.96
1970	0	0.17873	0.33	0.14212	0.35
1970	1	0.01179	1.35	0.01109	1.59
1970	5	0.00758	2.50	0.00753	2.28
1970	10	0.00303	2.50	0.00236	1.95
1970	15	0.00282	2.54	0.00148	2.47
1970	20	0.00370	2.56	0.00218	2.60
1970	25	0.00399	2.52	0.00256	2.55
1970	30	0.00429	2.54	0.00291	2.55
1970	35	0.00501	2.59	0.00341	2.58
1970	40	0.00695	2.62	0.00442	2.62
1970	45	0.00975	2.60	0.00610	2.64
1970	50	0.01231	2.61	0.00885	2.65
1970	55	0.01862	2.63	0.01323	2.62
1970	60	0.02820	2.60	0.01859	2.64
1970	65	0.04010	2.59	0.03038	2.65
1970	70	0.06584	2.57	0.05018	2.60
1970	75	0.10783	2.47	0.08043	2.53
1970	80	0.17089	2.33	0.12607	2.42
1970	85	0.25895	2.12	0.19149	2.26
1970	90	0.37105	1.86	0.27904	2.06
1970	95	0.49900	1.57	0.38677	1.83
1970	100	0.60495	1.65	0.51399	1.95
1975	0	0.14644	0.33	0.11527	0.31
1975	1	0.00828	1.35	0.00782	1.60
1975	5	0.00705	2.50	0.00663	2.28
1975	10	0.00295	2.50	0.00238	2.02
1975	15	0.00264	2.53	0.00126	2.42
1975	20	0.00345	2.57	0.00192	2.61
1975	25	0.00376	2.53	0.00226	2.56
1975	30	0.00408	2.54	0.00257	2.56
1975	35	0.00476	2.59	0.00302	2.58
1975	40	0.00645	2.62	0.00387	2.61
1975	45	0.00892	2.60	0.00531	2.64
1975	50	0.01139	2.61	0.00769	2.65
1975	55	0.01717	2.64	0.01149	2.63
1975	60	0.02613	2.61	0.01641	2.65
1975	65	0.03788	2.60	0.02698	2.66
1975	70	0.06294	2.58	0.04538	2.62
1975	75	0.10441	2.49	0.07447	2.55
1975	80	0.16751	2.34	0.11945	2.44
1975	85	0.25653	2.13	0.18534	2.29
1975	90	0.37067	1.87	0.27513	2.08
1975	95	0.50130	1.57	0.38691	1.83
1975	100	0.60910	1.64	0.51919	1.93
1980	0	0.11457	0.33	0.08872	0.24
1980	1	0.00661	1.35	0.00637	1.61
1980	5	0.00647	2.50	0.00533	2.29
1980	10	0.00290	2.50	0.00172	1.98
1980	15	0.00246	2.52	0.00117	2.49
1980	20	0.00321	2.57	0.00167	2.60
1980	25	0.00354	2.53	0.00198	2.56
1980	30	0.00388	2.54	0.00227	2.56
1980	35	0.00452	2.58	0.00267	2.58
1980	40	0.00598	2.61	0.00340	2.61
1980	45	0.00815	2.60	0.00463	2.64
1980	50	0.01052	2.62	0.00668	2.65
1980	55	0.01580	2.64	0.00998	2.64
1980	60	0.02417	2.62	0.01450	2.66
1980	65	0.03569	2.62	0.02395	2.67
1980	70	0.06003	2.59	0.04104	2.64
1980	75	0.10088	2.50	0.06899	2.57
1980	80	0.16383	2.35	0.11328	2.47
1980	85	0.25360	2.14	0.17965	2.31
1980	90	0.36949	1.87	0.27174	2.09
1980	95	0.50251	1.57	0.38772	1.83
1980	100	0.61254	1.63	0.52513	1.90
1985	0	0.08795	0.22	0.06693	0.20
1985	1	0.00565	1.61	0.00533	1.62
1985	5	0.00511	2.29	0.00483	2.30
1985	10	0.00227	2.24	0.00168	2.01
1985	15	0.00241	2.56	0.00101	2.45
1985	20	0.00301	2.56	0.00146	2.60
1985	25	0.00336	2.54	0.00174	2.56
1985	30	0.00371	2.55	0.00200	2.56
1985	35	0.00431	2.58	0.00235	2.58
1985	40	0.00558	2.61	0.00297	2.61
1985	45	0.00750	2.60	0.00403	2.64
1985	50	0.00980	2.63	0.00579	2.65
1985	55	0.01465	2.64	0.00867	2.65
1985	60	0.02251	2.62	0.01281	2.67
1985	65	0.03386	2.63	0.02120	2.68
1985	70	0.05762	2.61	0.03709	2.66
1985	75	0.09813	2.51	0.06425	2.59
1985	80	0.16135	2.36	0.10857	2.49
1985	85	0.25247	2.14	0.17671	2.32
1985	90	0.37096	1.88	0.27304	2.09
1985	95	0.50731	1.60	0.39551	1.82
1985	100	0.64739	1.54	0.53957	1.85
1990	0	0.06725	0.23	0.05022	0.17
1990	1	0.00454	1.46	0.00429	1.62
1990	5	0.00466	2.50	0.00381	2.31
1990	10	0.00223	2.50	0.00166	2.04
1990	15	0.00227	2.54	0.00090	2.41
1990	20	0.00281	2.56	0.00127	2.60
1990	25	0.00317	2.54	0.00152	2.56
1990	30	0.00353	2.55	0.00176	2.56
1990	35	0.00410	2.57	0.00208	2.58
1990	40	0.00519	2.60	0.00260	2.61
1990	45	0.00688	2.60	0.00350	2.64
1990	50	0.00908	2.62	0.00502	2.65
1990	55	0.01351	2.65	0.00752	2.66
1990	60	0.02089	2.64	0.01132	2.68
1990	65	0.03198	2.64	0.01877	2.68
1990	70	0.05507	2.61	0.03351	2.68
1990	75	0.09502	2.52	0.05977	2.61
1990	80	0.15819	2.37	0.10389	2.51
1990	85	0.25021	2.16	0.17346	2.34
1990	90	0.37072	1.88	0.27367	2.10
1990	95	0.50977	1.56	0.40229	1.81
1990	100	0.62275	1.61	0.55265	1.81
1995	0	0.04394	0.16	0.03228	0.13
1995	1	0.00349	1.53	0.00319	1.62
1995	5	0.00263	2.50	0.00214	2.30
1995	10	0.00225	2.50	0.00131	2.30
1995	15	0.00217	2.53	0.00089	2.45
1995	20	0.00264	2.56	0.00109	2.58
1995	25	0.00301	2.54	0.00133	2.57
1995	30	0.00337	2.55	0.00154	2.56
1995	35	0.00391	2.57	0.00183	2.58
1995	40	0.00484	2.59	0.00228	2.61
1995	45	0.00633	2.60	0.00304	2.64
1995	50	0.00844	2.62	0.00435	2.66
1995	55	0.01249	2.65	0.00652	2.66
1995	60	0.01942	2.64	0.01000	2.69
1995	65	0.03026	2.65	0.01661	2.69
1995	70	0.05271	2.62	0.03026	2.70
1995	75	0.09217	2.53	0.05559	2.64
1995	80	0.15538	2.38	0.09943	2.53
1995	85	0.24844	2.16	0.17038	2.36
1995	90	0.37122	1.88	0.27453	2.11
1995	95	0.51321	1.55	0.40943	1.80
1995	100	0.62771	1.59	0.56607	1.77
2000	0	0.02922	0.12	0.02114	0.11
2000	1	0.00248	1.57	0.00233	1.64
2000	5	0.00132	2.50	0.00123	2.29
2000	10	0.00127	2.50	0.00100	2.41
2000	15	0.00147	2.60	0.00082	2.48
2000	20	0.00211	2.60	0.00094	2.57
2000	25	0.00244	2.56	0.00116	2.57
2000	30	0.00282	2.55	0.00135	2.57
2000	35	0.00322	2.56	0.00161	2.58
2000	40	0.00389	2.59	0.00199	2.60
2000	45	0.00520	2.62	0.00264	2.63
2000	50	0.00721	2.64	0.00377	2.66
2000	55	0.01090	2.66	0.00566	2.67
2000	60	0.01733	2.66	0.00883	2.69
2000	65	0.02820	2.66	0.01470	2.70
2000	70	0.05004	2.63	0.02736	2.71
2000	75	0.08888	2.55	0.05173	2.66
2000	80	0.15204	2.40	0.09515	2.55
2000	85	0.24618	2.17	0.16722	2.37
2000	90	0.37129	1.88	0.27503	2.11
2000	95	0.51622	1.55	0.41593	1.79
2000	100	0.63309	1.58	0.57852	1.73
2005	0	0.01966	0.10	0.01347	0.09
2005	1	0.00173	1.59	0.00165	1.66
2005	5	0.00104	2.50	0.00092	2.30
2005	10	0.00100	2.50	0.00078	2.45
2005	15	0.00128	2.63	0.00072	2.51
2005	20	0.00185	2.60	0.00080	2.57
2005	25	0.00215	2.56	0.00100	2.57
2005	30	0.00249	2.56	0.00116	2.57
2005	35	0.00295	2.58	0.00139	2.58
2005	40	0.00368	2.59	0.00172	2.61
2005	45	0.00480	2.61	0.00229	2.64
2005	50	0.00656	2.64	0.00328	2.66
2005	55	0.00993	2.66	0.00494	2.68
2005	60	0.01587	2.67	0.00778	2.70
2005	65	0.02599	2.67	0.01307	2.70
2005	70	0.04636	2.64	0.02454	2.72
2005	75	0.08258	2.56	0.04692	2.67
2005	80	0.14201	2.42	0.08740	2.57
2005	85	0.23176	2.21	0.15581	2.40
2005	90	0.35313	1.92	0.26023	2.15
2005	95	0.49668	1.59	0.39953	1.83
2005	100	0.61537	1.63	0.56401	1.77
2010	0	0.01372	0.08	0.01014	0.07
2010	1	0.00156	1.65	0.00129	1.65
2010	5	0.00097	2.50	0.00074	2.50
2010	10	0.00077	2.50	0.00064	2.50
2010	15	0.00102	2.64	0.00061	2.51
2010	20	0.00152	2.62	0.00069	2.57
2010	25	0.00180	2.56	0.00086	2.58
2010	30	0.00210	2.56	0.00101	2.57
2010	35	0.00249	2.57	0.00121	2.58
2010	40	0.00309	2.59	0.00149	2.60
2010	45	0.00400	2.61	0.00199	2.63
2010	50	0.00542	2.64	0.00283	2.65
2010	55	0.00815	2.67	0.00427	2.67
2010	60	0.01299	2.67	0.00671	2.69
2010	65	0.02132	2.68	0.01126	2.72
2010	70	0.03827	2.66	0.02118	2.72
2010	75	0.06889	2.59	0.04072	2.68
2010	80	0.12008	2.47	0.07651	2.59
2010	85	0.19901	2.28	0.13801	2.45
2010	90	0.30804	2.02	0.23367	2.22
2010	95	0.43989	1.70	0.36393	1.90
2010	100	0.54423	1.84	0.49519	2.02
2015	0	0.01024	0.07	0.00765	0.07
2015	1	0.00119	1.65	0.00100	1.65
2015	5	0.00077	2.50	0.00060	2.50
2015	10	0.00063	2.50	0.00053	2.50
2015	15	0.00086	2.65	0.00052	2.52
2015	20	0.00132	2.62	0.00060	2.58
2015	25	0.00159	2.57	0.00075	2.58
2015	30	0.00187	2.56	0.00089	2.57
2015	35	0.00222	2.57	0.00107	2.58
2015	40	0.00273	2.59	0.00132	2.60
2015	45	0.00351	2.61	0.00175	2.63
2015	50	0.00472	2.64	0.00248	2.65
2015	55	0.00706	2.67	0.00373	2.67
2015	60	0.01123	2.68	0.00585	2.69
2015	65	0.01846	2.69	0.00982	2.72
2015	70	0.03334	2.68	0.01850	2.73
2015	75	0.06056	2.62	0.03577	2.70
2015	80	0.10685	2.50	0.06785	2.62
2015	85	0.17953	2.33	0.12395	2.48
2015	90	0.28182	2.08	0.21296	2.26
2015	95	0.40794	1.78	0.33684	1.96
2015	100	0.51536	1.94	0.46984	2.13
