Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.18079	0.33	0.15313	0.35
1950	1	0.04035	1.35	0.03766	1.36
1950	5	0.01109	2.50	0.01113	2.50
1950	10	0.00589	2.50	0.00646	2.50
1950	15	0.00699	2.59	0.00686	2.53
1950	20	0.00979	2.57	0.00781	2.54
1950	25	0.01060	2.51	0.00907	2.54
1950	30	0.01162	2.52	0.01027	2.53
1950	35	0.01325	2.53	0.01152	2.52
1950	40	0.01543	2.53	0.01269	2.51
1950	45	0.01754	2.53	0.01352	2.53
1950	50	0.02135	2.54	0.01674	2.56
1950	55	0.02603	2.55	0.02148	2.58
1950	60	0.03548	2.56	0.03112	2.60
1950	65	0.05038	2.55	0.04644	2.58
1950	70	0.07617	2.52	0.07198	2.53
1950	75	0.11648	2.44	0.11032	2.46
1950	80	0.18288	2.31	0.17529	2.32
1950	85	0.28493	2.08	0.27129	2.11
1950	90	0.42459	1.75	0.40496	1.79
1950	95	0.55167	1.44	0.52486	1.50
1950	100	0.66063	1.51	0.63477	1.58
1955	0	0.16901	0.33	0.14324	0.35
1955	1	0.03386	1.35	0.03189	1.36
1955	5	0.00913	2.50	0.00912	2.50
1955	10	0.00495	2.50	0.00537	2.50
1955	15	0.00611	2.60	0.00587	2.54
1955	20	0.00863	2.57	0.00685	2.55
1955	25	0.00938	2.52	0.00804	2.54
1955	30	0.01036	2.53	0.00917	2.53
1955	35	0.01191	2.54	0.01038	2.53
1955	40	0.01401	2.53	0.01161	2.51
1955	45	0.01616	2.54	0.01253	2.54
1955	50	0.02007	2.55	0.01571	2.57
1955	55	0.02477	2.56	0.02030	2.59
1955	60	0.03426	2.57	0.02970	2.60
1955	65	0.04928	2.56	0.04491	2.59
1955	70	0.07520	2.52	0.07050	2.54
1955	75	0.11623	2.44	0.10956	2.46
1955	80	0.18418	2.31	0.17662	2.33
1955	85	0.28973	2.08	0.27762	2.10
1955	90	0.43763	1.73	0.42196	1.77
1955	95	0.57510	1.40	0.55514	1.44
1955	100	0.69610	1.44	0.67986	1.47
1960	0	0.15585	0.33	0.13216	0.35
1960	1	0.02799	1.35	0.02654	1.36
1960	5	0.00745	2.50	0.00740	2.50
1960	10	0.00412	2.50	0.00442	2.50
1960	15	0.00530	2.62	0.00498	2.55
1960	20	0.00755	2.58	0.00595	2.56
1960	25	0.00822	2.52	0.00705	2.55
1960	30	0.00915	2.53	0.00809	2.54
1960	35	0.01061	2.54	0.00926	2.54
1960	40	0.01260	2.54	0.01051	2.52
1960	45	0.01475	2.55	0.01150	2.54
1960	50	0.01869	2.56	0.01461	2.57
1960	55	0.02338	2.57	0.01903	2.60
1960	60	0.03283	2.58	0.02813	2.61
1960	65	0.04786	2.57	0.04313	2.60
1960	70	0.07374	2.53	0.06861	2.55
1960	75	0.11524	2.45	0.10817	2.47
1960	80	0.18436	2.31	0.17700	2.33
1960	85	0.29292	2.08	0.28271	2.10
1960	90	0.44869	1.71	0.43780	1.74
1960	95	0.59659	1.36	0.58500	1.39
1960	100	0.73012	1.37	0.72583	1.38
1965	0	0.14139	0.33	0.12052	0.35
1965	1	0.02286	1.35	0.02200	1.36
1965	5	0.00611	2.50	0.00605	2.50
1965	10	0.00345	2.50	0.00367	2.50
1965	15	0.00461	2.63	0.00425	2.56
1965	20	0.00663	2.58	0.00521	2.57
1965	25	0.00725	2.53	0.00625	2.56
1965	30	0.00813	2.54	0.00722	2.55
1965	35	0.00952	2.55	0.00835	2.54
1965	40	0.01142	2.55	0.00960	2.53
1965	45	0.01356	2.56	0.01063	2.55
1965	50	0.01750	2.57	0.01366	2.58
1965	55	0.02217	2.58	0.01791	2.60
1965	60	0.03156	2.59	0.02668	2.62
1965	65	0.04657	2.58	0.04139	2.60
1965	70	0.07240	2.54	0.06660	2.56
1965	75	0.11430	2.46	0.10636	2.48
1965	80	0.18448	2.31	0.17643	2.34
1965	85	0.29585	2.07	0.28599	2.10
1965	90	0.45910	1.70	0.45040	1.72
1965	95	0.61714	1.32	0.61024	1.34
1965	100	0.76311	1.31	0.76595	1.31
1970	0	0.13622	0.33	0.11628	0.35
1970	1	0.02116	1.35	0.02054	1.36
1970	5	0.00566	2.50	0.00563	2.50
1970	10	0.00322	2.50	0.00343	2.50
1970	15	0.00437	2.63	0.00402	2.57
1970	20	0.00630	2.58	0.00495	2.57
1970	25	0.00689	2.53	0.00596	2.56
1970	30	0.00775	2.54	0.00691	2.55
1970	35	0.00911	2.55	0.00801	2.54
1970	40	0.01096	2.55	0.00926	2.53
1970	45	0.01308	2.56	0.01030	2.55
1970	50	0.01701	2.57	0.01329	2.58
1970	55	0.02164	2.58	0.01747	2.60
1970	60	0.03098	2.59	0.02611	2.62
1970	65	0.04594	2.58	0.04070	2.61
1970	70	0.07166	2.54	0.06578	2.56
1970	75	0.11358	2.46	0.10554	2.49
1970	80	0.18395	2.32	0.17595	2.34
1970	85	0.29607	2.07	0.28672	2.10
1970	90	0.46175	1.69	0.45436	1.71
1970	95	0.62331	1.31	0.61877	1.32
1970	100	0.77378	1.29	0.78001	1.28
1975	0	0.13550	0.33	0.11559	0.35
1975	1	0.02081	1.35	0.02017	1.36
1975	5	0.00548	2.50	0.00548	2.50
1975	10	0.00314	2.50	0.00334	2.50
1975	15	0.00426	2.63	0.00393	2.57
1975	20	0.00616	2.58	0.00488	2.57
1975	25	0.00680	2.53	0.00591	2.56
1975	30	0.00771	2.54	0.00687	2.55
1975	35	0.00911	2.55	0.00799	2.54
1975	40	0.01097	2.55	0.00922	2.53
1975	45	0.01310	2.56	0.01026	2.55
1975	50	0.01699	2.57	0.01322	2.58
1975	55	0.02160	2.58	0.01736	2.60
1975	60	0.03088	2.59	0.02593	2.62
1975	65	0.04575	2.58	0.04041	2.61
1975	70	0.07133	2.54	0.06536	2.56
1975	75	0.11305	2.46	0.10498	2.49
1975	80	0.18329	2.32	0.17532	2.34
