Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.15117	0.33	0.12094	0.35
1950	1	0.00937	1.35	0.00918	1.36
1950	5	0.00386	2.50	0.00360	2.50
1950	10	0.00152	2.50	0.00114	2.50
1950	15	0.00224	2.65	0.00167	2.62
1950	20	0.00322	2.62	0.00207	2.57
1950	25	0.00411	2.58	0.00233	2.55
1950	30	0.00495	2.58	0.00269	2.57
1950	35	0.00640	2.61	0.00330	2.59
1950	40	0.00901	2.63	0.00428	2.61
1950	45	0.01290	2.62	0.00579	2.62
1950	50	0.01828	2.60	0.00825	2.65
1950	55	0.02557	2.59	0.01294	2.67
1950	60	0.03567	2.57	0.02082	2.65
1950	65	0.05015	2.54	0.03280	2.62
1950	70	0.07033	2.49	0.05073	2.57
1950	75	0.09799	2.43	0.07721	2.51
1950	80	0.13293	2.35	0.11383	2.42
1950	85	0.17663	2.24	0.16028	2.30
1950	90	0.24091	2.10	0.21564	2.12
1950	95	0.29102	2.01	0.27041	2.06
1950	100	0.37034	2.70	0.35434	2.82
1955	0	0.13784	0.33	0.11027	0.35
1955	1	0.00904	1.35	0.00886	1.36
1955	5	0.00333	2.50	0.00306	2.50
1955	10	0.00134	2.50	0.00098	2.50
1955	15	0.00203	2.66	0.00144	2.62
1955	20	0.00296	2.63	0.00181	2.57
1955	25	0.00382	2.58	0.00204	2.55
1955	30	0.00461	2.58	0.00238	2.57
1955	35	0.00594	2.61	0.00294	2.59
1955	40	0.00831	2.63	0.00385	2.61
1955	45	0.01183	2.62	0.00526	2.63
1955	50	0.01672	2.61	0.00758	2.66
1955	55	0.02342	2.59	0.01199	2.67
1955	60	0.03282	2.57	0.01945	2.66
1955	65	0.04646	2.55	0.03084	2.62
1955	70	0.06570	2.51	0.04798	2.58
1955	75	0.09214	2.45	0.07341	2.52
1955	80	0.12598	2.37	0.10873	2.43
1955	85	0.16870	2.26	0.15375	2.31
1955	90	0.23176	2.12	0.20764	2.15
1955	95	0.28245	2.03	0.26232	2.08
1955	100	0.36289	2.76	0.34664	2.88
1960	0	0.12480	0.33	0.09984	0.33
1960	1	0.00872	1.35	0.00855	1.37
1960	5	0.00286	2.50	0.00259	2.50
1960	10	0.00118	2.50	0.00083	2.50
1960	15	0.00184	2.67	0.00123	2.63
1960	20	0.00273	2.63	0.00156	2.57
1960	25	0.00355	2.59	0.00177	2.56
1960	30	0.00429	2.58	0.00209	2.57
1960	35	0.00550	2.61	0.00259	2.60
1960	40	0.00766	2.63	0.00343	2.62
