Period	Age	mxt_m	axt_m	mxt_f	axt_f
1950	0	0.11938	0.33	0.10282	0.34
1950	1	0.01547	1.35	0.01612	1.37
1950	5	0.00635	2.50	0.00705	2.50
1950	10	0.00438	2.50	0.00316	2.50
1950	15	0.00232	2.34	0.00188	2.39
1950	20	0.00209	2.61	0.00191	2.51
1950	25	0.00411	2.68	0.00205	2.63
1950	30	0.00521	2.66	0.00359	2.70
1950	35	0.00929	2.64	0.00561	2.56
1950	40	0.01122	2.58	0.00512	2.57
1950	45	0.01515	2.54	0.00826	2.63
1950	50	0.01556	2.54	0.01019	2.60
1950	55	0.02134	2.65	0.01461	2.61
1950	60	0.03890	2.63	0.01976	2.59
1950	65	0.05794	2.54	0.03665	2.60
1950	70	0.08440	2.48	0.05616	2.56
1950	75	0.12117	2.40	0.08500	2.49
1950	80	0.17067	2.29	0.12639	2.40
1950	85	0.23455	2.15	0.18341	2.27
1950	90	0.31286	1.98	0.25795	2.11
1950	95	0.40326	1.80	0.34924	1.92
1950	100	0.50761	1.97	0.46083	2.17
1955	0	0.09358	0.29	0.07909	0.27
1955	1	0.01289	1.39	0.01303	1.40
1955	5	0.00531	2.50	0.00546	2.50
1955	10	0.00398	2.50	0.00286	2.50
1955	15	0.00243	2.35	0.00174	2.38
1955	20	0.00199	2.60	0.00166	2.49
1955	25	0.00395	2.68	0.00173	2.59
1955	30	0.00483	2.63	0.00264	2.69
1955	35	0.00783	2.62	0.00439	2.59
1955	40	0.00933	2.58	0.00417	2.57
1955	45	0.01273	2.54	0.00652	2.63
1955	50	0.01275	2.55	0.00845	2.62
1955	55	0.01833	2.66	0.01286	2.61
1955	60	0.03257	2.67	0.01595	2.60
1955	65	0.05468	2.55	0.03204	2.61
1955	70	0.08170	2.49	0.04977	2.58
1955	75	0.12012	2.41	0.07638	2.52
1955	80	0.17282	2.29	0.11525	2.43
1955	85	0.24174	2.14	0.16979	2.31
1955	90	0.32676	1.96	0.24243	2.15
1955	95	0.42464	1.76	0.33303	1.95
1955	100	0.53476	1.87	0.44643	2.24
1960	0	0.07681	0.25	0.06342	0.23
1960	1	0.01025	1.43	0.01011	1.43
1960	5	0.00446	2.50	0.00425	2.50
1960	10	0.00359	2.50	0.00257	2.50
1960	15	0.00249	2.36	0.00159	2.38
1960	20	0.00190	2.58	0.00144	2.48
1960	25	0.00376	2.67	0.00146	2.56
1960	30	0.00446	2.61	0.00199	2.68
1960	35	0.00669	2.60	0.00346	2.61
1960	40	0.00789	2.58	0.00346	2.58
1960	45	0.01084	2.54	0.00529	2.64
1960	50	0.01071	2.56	0.00703	2.64
1960	55	0.01601	2.66	0.01123	2.61
1960	60	0.02756	2.71	0.01312	2.62
1960	65	0.05209	2.57	0.02801	2.63
1960	70	0.07948	2.51	0.04400	2.59
1960	75	0.11919	2.42	0.06837	2.54
1960	80	0.17453	2.30	0.10453	2.46
1960	85	0.24770	2.13	0.15616	2.34
1960	90	0.33835	1.94	0.22620	2.19
1960	95	0.44239	1.73	0.31519	1.99
1960	100	0.55556	1.80	0.42918	2.33
1965	0	0.06575	0.22	0.05290	0.20
1965	1	0.00811	1.46	0.00769	1.44
1965	5	0.00424	2.50	0.00357	2.50
1965	10	0.00363	2.50	0.00245	2.50
1965	15	0.00280	2.37	0.00156	2.38
1965	20	0.00204	2.57	0.00137	2.47
1965	25	0.00397	2.66	0.00136	2.54
1965	30	0.00461	2.59	0.00169	2.66
1965	35	0.00650	2.59	0.00298	2.63
1965	40	0.00762	2.59	0.00319	2.59
1965	45	0.01056	2.54	0.00478	2.63
1965	50	0.01051	2.57	0.00638	2.65
1965	55	0.01613	2.66	0.01054	2.61
1965	60	0.02676	2.71	0.01200	2.61
1965	65	0.05185	2.57	0.02458	2.63
1965	70	0.07926	2.51	0.03850	2.60
1965	75	0.11908	2.42	0.05972	2.55
1965	80	0.17465	2.30	0.09135	2.48
1965	85	0.24819	2.13	0.13695	2.38
1965	90	0.33934	1.94	0.19973	2.24
1965	95	0.44393	1.73	0.28121	2.06
1965	100	0.55866	1.79	0.39216	2.55
1970	0	0.06337	0.22	0.04965	0.19
1970	1	0.00726	1.47	0.00668	1.45
1970	5	0.00625	2.50	0.00421	2.50
1970	10	0.00562	2.50	0.00327	2.50
1970	15	0.00477	2.39	0.00213	2.38
1970	20	0.00341	2.55	0.00185	2.46
1970	25	0.00640	2.64	0.00180	2.52
1970	30	0.00725	2.57	0.00211	2.65
1970	35	0.00981	2.58	0.00370	2.64
1970	40	0.01154	2.58	0.00428	2.60
1970	45	0.01621	2.54	0.00628	2.63
1970	50	0.01662	2.56	0.00836	2.65
1970	55	0.02583	2.64	0.01402	2.61
1970	60	0.04116	2.62	0.01615	2.63
1970	65	0.06874	2.52	0.03589	2.62
1970	70	0.10183	2.45	0.05753	2.57
1970	75	0.14799	2.35	0.09077	2.50
1970	80	0.20971	2.21	0.13993	2.39
1970	85	0.28790	2.04	0.20887	2.23
1970	90	0.38077	1.85	0.29909	2.03
1970	95	0.48323	1.66	0.40760	1.81
1970	100	0.59172	1.69	0.53191	1.88
1975	0	0.05349	0.19	0.04100	0.17
1975	1	0.00594	1.50	0.00522	1.46
1975	5	0.00325	2.50	0.00217	2.50
1975	10	0.00303	2.50	0.00189	2.50
1975	15	0.00280	2.41	0.00128	2.39
1975	20	0.00202	2.55	0.00112	2.46
1975	25	0.00359	2.63	0.00108	2.52
1975	30	0.00396	2.57	0.00123	2.64
1975	35	0.00525	2.58	0.00209	2.65
1975	40	0.00626	2.60	0.00261	2.62
1975	45	0.00894	2.57	0.00375	2.63
1975	50	0.00964	2.59	0.00497	2.66
1975	55	0.01495	2.65	0.00832	2.63
1975	60	0.02297	2.67	0.00999	2.65
1975	65	0.04038	2.58	0.02159	2.65
1975	70	0.06001	2.54	0.03504	2.62
1975	75	0.08816	2.48	0.05630	2.58
1975	80	0.12750	2.39	0.08904	2.50
1975	85	0.18054	2.27	0.13763	2.39
1975	90	0.24886	2.12	0.20601	2.24
1975	95	0.33209	1.95	0.29581	2.04
1975	100	0.43668	2.29	0.41494	2.41
1980	0	0.04730	0.17	0.03773	0.16
1980	1	0.00483	1.52	0.00447	1.46
1980	5	0.00260	2.50	0.00170	2.50
1980	10	0.00244	2.50	0.00150	2.50
1980	15	0.00252	2.45	0.00107	2.41
1980	20	0.00196	2.56	0.00097	2.48
1980	25	0.00335	2.61	0.00096	2.52
1980	30	0.00350	2.56	0.00108	2.62
1980	35	0.00456	2.59	0.00176	2.66
1980	40	0.00553	2.61	0.00233	2.63
1980	45	0.00798	2.59	0.00328	2.63
1980	50	0.00911	2.60	0.00441	2.66
1980	55	0.01397	2.64	0.00733	2.64
1980	60	0.02078	2.67	0.00923	2.66
1980	65	0.03767	2.59	0.01929	2.66
1980	70	0.05618	2.55	0.03142	2.63
1980	75	0.08288	2.49	0.05071	2.59
1980	80	0.12042	2.40	0.08065	2.52
1980	85	0.17145	2.29	0.12557	2.42
1980	90	0.23777	2.15	0.18967	2.28
1980	95	0.31934	1.97	0.27530	2.09
1980	100	0.42373	2.36	0.39370	2.54
1985	0	0.04215	0.16	0.03433	0.15
1985	1	0.00377	1.53	0.00357	1.47
1985	5	0.00206	2.50	0.00127	2.50
1985	10	0.00192	2.50	0.00117	2.50
1985	15	0.00221	2.49	0.00090	2.43
1985	20	0.00188	2.56	0.00086	2.49
1985	25	0.00303	2.60	0.00087	2.53
1985	30	0.00313	2.55	0.00097	2.61
1985	35	0.00403	2.59	0.00152	2.66
1985	40	0.00503	2.61	0.00211	2.63
1985	45	0.00728	2.60	0.00294	2.63
1985	50	0.00888	2.61	0.00405	2.66
1985	55	0.01338	2.64	0.00665	2.65
1985	60	0.01952	2.67	0.00879	2.66
1985	65	0.03547	2.59	0.01766	2.66
1985	70	0.05288	2.55	0.02876	2.64
1985	75	0.07805	2.50	0.04643	2.60
1985	80	0.11356	2.42	0.07398	2.54
1985	85	0.16207	2.31	0.11557	2.44
1985	90	0.22556	2.17	0.17550	2.31
1985	95	0.30439	2.00	0.25663	2.13
1985	100	0.40650	2.46	0.37175	2.69
1990	0	0.03933	0.15	0.02943	0.14
1990	1	0.00348	1.54	0.00245	1.48
1990	5	0.00161	2.50	0.00100	2.50
1990	10	0.00147	2.50	0.00096	2.50
1990	15	0.00191	2.54	0.00078	2.45
1990	20	0.00181	2.57	0.00077	2.50
1990	25	0.00276	2.59	0.00080	2.53
1990	30	0.00288	2.55	0.00089	2.60
1990	35	0.00364	2.59	0.00134	2.66
1990	40	0.00469	2.62	0.00192	2.64
1990	45	0.00677	2.62	0.00267	2.63
1990	50	0.00883	2.62	0.00373	2.66
1990	55	0.01311	2.63	0.00605	2.66
1990	60	0.01886	2.66	0.00840	2.69
1990	65	0.03368	2.59	0.01627	2.71
1990	70	0.05003	2.56	0.02650	2.65
1990	75	0.07361	2.51	0.04279	2.61
1990	80	0.10689	2.43	0.06820	2.55
1990	85	0.15246	2.33	0.10668	2.46
1990	90	0.21240	2.20	0.16250	2.33
1990	95	0.28742	2.04	0.23851	2.17
1990	100	0.38732	2.58	0.34892	2.87
1995	0	0.03373	0.14	0.02298	0.12
1995	1	0.00265	1.55	0.00151	1.49
